clasificacion_temporada,clasificacion_jornada,clasificacion_posicion,clasificacion_equipo,clasificacion_puntos,clasificacion_partidos_jugados,clasificacion_ganados,clasificacion_empatados,clasificacion_perdidos,clasificacion_goles_favor,clasificacion_goles_contra
Temporada2020,Jornada 5,1,RB Leipzig,13,5,4,1,0,13,3
Temporada2020,Jornada 5,2,Bayern München,11,5,3,2,0,16,4
Temporada2020,Jornada 5,3,B. Dortmund,10,5,3,1,1,15,7
Temporada2020,Jornada 5,4,SC Freiburg,10,5,3,1,1,11,4
Temporada2020,Jornada 5,5,Schalke 04,10,5,3,1,1,10,5
Temporada2020,Jornada 5,6,Monchengladbach,10,5,3,1,1,7,5
Temporada2020,Jornada 5,7,B. Leverkusen,10,5,3,1,1,8,7
Temporada2020,Jornada 5,8,Wolfsburg,9,5,2,3,0,8,4
Temporada2020,Jornada 5,9,Eintracht,7,5,2,1,2,7,7
Temporada2020,Jornada 5,10,Werder Bremen,6,5,2,0,3,8,12
Temporada2020,Jornada 5,11,Hoffenheim,5,5,1,2,2,4,7
Temporada2020,Jornada 5,12,FC Augsburg,5,5,1,2,2,7,11
Temporada2020,Jornada 5,13,Fortuna,4,5,1,1,3,7,9
Temporada2020,Jornada 5,14,Union Berlin,4,5,1,1,3,5,10
Temporada2020,Jornada 5,15,Hertha BSC,4,5,1,1,3,5,11
Temporada2020,Jornada 5,16,Köln,3,5,1,0,4,4,11
Temporada2020,Jornada 5,17,Mainz 05,3,5,1,0,4,5,15
Temporada2020,Jornada 5,18,Paderborn,1,5,0,1,4,6,14
Temporada2020,Jornada 6,1,Bayern München,14,6,4,2,0,19,6
Temporada2020,Jornada 6,2,RB Leipzig,13,6,4,1,1,14,6
Temporada2020,Jornada 6,3,SC Freiburg,13,6,4,1,1,13,5
Temporada2020,Jornada 6,4,Schalke 04,13,6,4,1,1,13,6
Temporada2020,Jornada 6,5,Monchengladbach,13,6,4,1,1,10,5
Temporada2020,Jornada 6,6,B. Leverkusen,13,6,4,1,1,11,7
Temporada2020,Jornada 6,7,Wolfsburg,12,6,3,3,0,9,4
Temporada2020,Jornada 6,8,B. Dortmund,11,6,3,2,1,17,9
Temporada2020,Jornada 6,9,Eintracht,10,6,3,1,2,9,8
Temporada2020,Jornada 6,10,Hertha BSC,7,6,2,1,3,9,11
Temporada2020,Jornada 6,11,Werder Bremen,7,6,2,1,3,10,14
Temporada2020,Jornada 6,12,Hoffenheim,5,6,1,2,3,4,10
Temporada2020,Jornada 6,13,FC Augsburg,5,6,1,2,3,7,14
Temporada2020,Jornada 6,14,Fortuna,4,6,1,1,4,8,11
Temporada2020,Jornada 6,15,Union Berlin,4,6,1,1,4,6,12
Temporada2020,Jornada 6,16,Mainz 05,3,6,1,0,5,5,16
Temporada2020,Jornada 6,17,Köln,3,6,1,0,5,4,15
Temporada2020,Jornada 6,18,Paderborn,1,6,0,1,5,8,17
Temporada2020,Jornada 7,1,Monchengladbach,16,7,5,1,1,15,6
Temporada2020,Jornada 7,2,Wolfsburg,15,7,4,3,0,10,4
Temporada2020,Jornada 7,3,Bayern München,14,7,4,2,1,20,8
Temporada2020,Jornada 7,4,RB Leipzig,14,7,4,2,1,15,7
Temporada2020,Jornada 7,5,SC Freiburg,14,7,4,2,1,15,7
Temporada2020,Jornada 7,6,Schalke 04,14,7,4,2,1,14,7
Temporada2020,Jornada 7,7,B. Leverkusen,14,7,4,2,1,12,8
Temporada2020,Jornada 7,8,B. Dortmund,12,7,3,3,1,19,11
Temporada2020,Jornada 7,9,Eintracht,11,7,3,2,2,11,10
Temporada2020,Jornada 7,10,Hertha BSC,10,7,3,1,3,12,12
Temporada2020,Jornada 7,11,Werder Bremen,8,7,2,2,3,12,16
Temporada2020,Jornada 7,12,Hoffenheim,8,7,2,2,3,6,11
Temporada2020,Jornada 7,13,Mainz 05,6,7,2,0,5,7,17
Temporada2020,Jornada 7,14,FC Augsburg,5,7,1,2,4,8,19
Temporada2020,Jornada 7,15,Fortuna,4,7,1,1,5,9,14
Temporada2020,Jornada 7,16,Union Berlin,4,7,1,1,5,6,13
Temporada2020,Jornada 7,17,Köln,4,7,1,1,5,5,16
Temporada2020,Jornada 7,18,Paderborn,1,7,0,1,6,9,19
Temporada2020,Jornada 8,1,Monchengladbach,16,8,5,1,2,15,7
Temporada2020,Jornada 8,2,Wolfsburg,16,8,4,4,0,11,5
Temporada2020,Jornada 8,3,Bayern München,15,8,4,3,1,22,10
Temporada2020,Jornada 8,4,B. Dortmund,15,8,4,3,1,20,11
Temporada2020,Jornada 8,5,RB Leipzig,15,8,4,3,1,16,8
Temporada2020,Jornada 8,6,SC Freiburg,14,8,4,2,2,15,9
Temporada2020,Jornada 8,7,Schalke 04,14,8,4,2,2,14,9
Temporada2020,Jornada 8,8,Eintracht,14,8,4,2,2,14,10
Temporada2020,Jornada 8,9,B. Leverkusen,14,8,4,2,2,12,11
Temporada2020,Jornada 8,10,Hertha BSC,11,8,3,2,3,13,13
Temporada2020,Jornada 8,11,Hoffenheim,11,8,3,2,3,8,11
Temporada2020,Jornada 8,12,Werder Bremen,9,8,2,3,3,13,17
Temporada2020,Jornada 8,13,Fortuna,7,8,2,1,5,10,14
Temporada2020,Jornada 8,14,Union Berlin,7,8,2,1,5,8,13
Temporada2020,Jornada 8,15,Köln,7,8,2,1,5,8,16
Temporada2020,Jornada 8,16,FC Augsburg,6,8,1,3,4,10,21
Temporada2020,Jornada 8,17,Mainz 05,6,8,2,0,6,7,18
Temporada2020,Jornada 8,18,Paderborn,1,8,0,1,7,9,22
Temporada2020,Jornada 9,1,Monchengladbach,19,9,6,1,2,19,9
Temporada2020,Jornada 9,2,Bayern München,18,9,5,3,1,24,11
Temporada2020,Jornada 9,3,SC Freiburg,17,9,5,2,2,17,10
Temporada2020,Jornada 9,4,Wolfsburg,17,9,4,5,0,11,5
Temporada2020,Jornada 9,5,B. Dortmund,16,9,4,4,1,20,11
Temporada2020,Jornada 9,6,RB Leipzig,15,9,4,3,2,17,10
Temporada2020,Jornada 9,7,Schalke 04,15,9,4,3,2,14,9
Temporada2020,Jornada 9,8,B. Leverkusen,15,9,4,3,2,14,13
Temporada2020,Jornada 9,9,Eintracht,14,9,4,2,3,16,14
Temporada2020,Jornada 9,10,Hoffenheim,14,9,4,2,3,11,13
Temporada2020,Jornada 9,11,Hertha BSC,11,9,3,2,4,15,16
Temporada2020,Jornada 9,12,Werder Bremen,10,9,2,4,3,15,19
Temporada2020,Jornada 9,13,Mainz 05,9,9,3,0,6,10,19
Temporada2020,Jornada 9,14,Fortuna,7,9,2,1,6,10,16
Temporada2020,Jornada 9,15,Union Berlin,7,9,2,1,6,9,15
Temporada2020,Jornada 9,16,Köln,7,9,2,1,6,9,19
Temporada2020,Jornada 9,17,FC Augsburg,7,9,1,4,4,10,21
Temporada2020,Jornada 9,18,Paderborn,4,9,1,1,7,11,22
Temporada2020,Jornada 10,1,Monchengladbach,22,10,7,1,2,21,10
Temporada2020,Jornada 10,2,B. Dortmund,19,10,5,4,1,23,11
Temporada2020,Jornada 10,3,RB Leipzig,18,10,5,3,2,25,10
Temporada2020,Jornada 10,4,Bayern München,18,10,5,3,2,25,16
Temporada2020,Jornada 10,5,SC Freiburg,18,10,5,3,2,19,12
Temporada2020,Jornada 10,6,Schalke 04,18,10,5,3,2,17,11
Temporada2020,Jornada 10,7,Eintracht,17,10,5,2,3,21,15
Temporada2020,Jornada 10,8,Wolfsburg,17,10,4,5,1,11,8
Temporada2020,Jornada 10,9,Hoffenheim,17,10,5,2,3,14,13
Temporada2020,Jornada 10,10,B. Leverkusen,15,10,4,3,3,15,15
Temporada2020,Jornada 10,11,Hertha BSC,11,10,3,2,5,15,17
Temporada2020,Jornada 10,12,Werder Bremen,11,10,2,5,3,17,21
Temporada2020,Jornada 10,13,Fortuna,10,10,3,1,6,12,16
Temporada2020,Jornada 10,14,Union Berlin,10,10,3,1,6,10,15
Temporada2020,Jornada 10,15,Mainz 05,9,10,3,0,7,10,27
Temporada2020,Jornada 10,16,FC Augsburg,7,10,1,4,5,12,24
Temporada2020,Jornada 10,17,Köln,7,10,2,1,7,9,21
