plantilla_temporada,plantilla_equipo,plantilla_dorsal,plantilla_foto,plantilla_name,plantilla_posicion,plantilla_edad,plantilla_pais,plantilla_altura,plantilla_peso,plantilla_goles,plantilla_rojas,plantilla_amarillas
Temporada2019,Bayern München,36,https://thumb.resfu.com/img_data/players/medium/286258.jpg?size=60x&5,C. Früchtl,Portero,20,https://thumb.resfu.com/media/img/1px.gif,193,71,0,0,0
Temporada2019,Bayern München,1,https://thumb.resfu.com/img_data/players/medium/1819.jpg?size=60x&5,M. Neuer,Portero,33,https://thumb.resfu.com/media/img/1px.gif,192,90,0,0,1
Temporada2019,Bayern München,39,https://thumb.resfu.com/img_data/players/medium/291873.jpg?size=60x&5,R. Hoffmann,Portero,20,https://thumb.resfu.com/media/img/1px.gif,192,84,0,0,0
Temporada2019,Bayern München,26,https://thumb.resfu.com/img_data/players/medium/1836.jpg?size=60x&5,S. Ulreich,Portero,31,https://thumb.resfu.com/media/img/1px.gif,192,84,0,0,0
Temporada2019,Bayern München,19,https://thumb.resfu.com/img_data/players/medium/326966.jpg?size=60x&5,A. Davies,Defensa,19,https://thumb.resfu.com/media/img/1px.gif,178,72,1,0,1
Temporada2019,Bayern München,27,https://thumb.resfu.com/img_data/players/medium/58931.jpg?size=60x&5,D. Alaba,Defensa,27,https://thumb.resfu.com/media/img/1px.gif,180,76,3,0,4
Temporada2019,Bayern München,17,https://thumb.resfu.com/img_data/players/medium/1855.jpg?size=60x&5,J. Boateng,Defensa,31,https://thumb.resfu.com/media/img/1px.gif,192,90,0,0,1
Temporada2019,Bayern München,32,https://thumb.resfu.com/img_data/players/medium/186172.jpg?size=60x&5,J. Kimmich,Defensa,25,https://thumb.resfu.com/media/img/1px.gif,176,70,2,0,4
Temporada2019,Bayern München,23,https://thumb.resfu.com/img_data/players/medium/348808.jpg?size=60x&5,J. Meier,Defensa,20,https://thumb.resfu.com/media/img/1px.gif,181,78,0,0,0
Temporada2019,Bayern München,33,https://thumb.resfu.com/img_data/players/medium/354196.jpg?size=60x&5,L. Mai,Defensa,19,https://thumb.resfu.com/media/img/1px.gif,190,88,0,0,0
Temporada2019,Bayern München,5,https://thumb.resfu.com/img_data/players/medium/1907.jpg?size=60x&5,M. Hummels,Defensa,31,https://thumb.resfu.com/media/img/1px.gif,192,90,1,0,1
Temporada2019,Bayern München,4,https://thumb.resfu.com/img_data/players/medium/178673.jpg?size=60x&5,N. Süle,Defensa,24,https://thumb.resfu.com/media/img/1px.gif,194,91,2,0,2
Temporada2019,Bayern München,24,https://thumb.resfu.com/img_data/players/medium/186760.jpg?size=60x&5,C. Tolisso,Centrocampista,25,https://thumb.resfu.com/media/img/1px.gif,181,54,1,0,0
Temporada2019,Bayern München,8,https://thumb.resfu.com/img_data/players/medium/29974.jpg?size=60x&5,J. Martínez,Centrocampista,31,https://thumb.resfu.com/media/img/1px.gif,190,81,3,0,3
Temporada2019,Bayern München,11,https://thumb.resfu.com/img_data/players/medium/54466.jpg?size=60x&5,James,Centrocampista,28,https://thumb.resfu.com/media/img/1px.gif,180,77,7,0,2
Temporada2019,Bayern München,,https://thumb.resfu.com/img_data/players/medium/334745.jpg?size=60x&5,K. Okyere Wriedt,Centrocampista,25,https://thumb.resfu.com/media/img/1px.gif,188,82,0,0,0
Temporada2019,Bayern München,18,https://thumb.resfu.com/img_data/players/medium/140287.jpg?size=60x&5,L. Goretzka,Centrocampista,25,https://thumb.resfu.com/media/img/1px.gif,189,76,8,0,3
Temporada2019,Bayern München,37,https://thumb.resfu.com/img_data/players/medium/296500.jpg?size=60x&5,M. Shabani,Centrocampista,21,https://thumb.resfu.com/media/img/1px.gif,185,69,0,0,0
Temporada2019,Bayern München,28,https://thumb.resfu.com/img_data/players/medium/411888.jpg?size=60x&5,P. Will,Centrocampista,21,https://thumb.resfu.com/media/img/1px.gif,185,77,0,0,0
Temporada2019,Bayern München,35,https://thumb.resfu.com/img_data/players/medium/240679.jpg?size=60x&5,Renato Sanches,Centrocampista,22,https://thumb.resfu.com/media/img/1px.gif,173,68,1,1,3
Temporada2019,Bayern München,6,https://thumb.resfu.com/img_data/players/medium/29470.jpg?size=60x&5,Thiago,Centrocampista,28,https://thumb.resfu.com/media/img/1px.gif,172,60,2,0,5
Temporada2019,Bayern München,10,https://thumb.resfu.com/img_data/players/medium/5736.jpg?size=60x&5,A. Robben,Delantero,36,https://thumb.resfu.com/media/img/1px.gif,181,75,4,1,2
Temporada2019,Bayern München,7,https://thumb.resfu.com/img_data/players/medium/2143.jpg?size=60x&5,F. Ribéry,Delantero,36,https://thumb.resfu.com/media/img/1px.gif,170,73,6,0,3
Temporada2019,Bayern München,20,https://thumb.resfu.com/img_data/players/medium/630604.jpg?size=60x&5,Jeong Woo-Yeong,Delantero,20,https://thumb.resfu.com/media/img/1px.gif,179,64,0,0,0
Temporada2019,Bayern München,29,https://thumb.resfu.com/img_data/players/medium/186338.jpg?size=60x&5,K. Coman,Delantero,23,https://thumb.resfu.com/media/img/1px.gif,178,71,6,0,2
Temporada2019,Bayern München,9,https://thumb.resfu.com/img_data/players/medium/53536.jpg?size=60x&5,R. Lewandowski,Delantero,31,https://thumb.resfu.com/media/img/1px.gif,183,76,22,0,2
Temporada2019,Bayern München,22,https://thumb.resfu.com/img_data/players/medium/159815.jpg?size=60x&5,S. Gnabry,Delantero,24,https://thumb.resfu.com/media/img/1px.gif,173,73,10,0,0
Temporada2019,Bayern München,25,https://thumb.resfu.com/img_data/players/medium/52981.jpg?size=60x&5,T. Müller,Delantero,30,https://thumb.resfu.com/media/img/1px.gif,186,74,6,0,1
Temporada2019,B. Dortmund,40,https://thumb.resfu.com/img_data/players/medium/293375.jpg?size=60x&5,E. Oelschlagel,Portero,24,https://thumb.resfu.com/media/img/1px.gif,193,87,0,0,0
Temporada2019,B. Dortmund,35,https://thumb.resfu.com/img_data/players/medium/21427.jpg?size=60x&5,M. Hitz,Portero,32,https://thumb.resfu.com/media/img/1px.gif,192,89,0,0,1
Temporada2019,B. Dortmund,1,https://thumb.resfu.com/img_data/players/medium/67454.jpg?size=60x&5,R. Burki,Portero,29,https://thumb.resfu.com/media/img/1px.gif,185,83,0,0,1
Temporada2019,B. Dortmund,4,https://thumb.resfu.com/img_data/players/medium/220882.jpg?size=60x&5,A. Diallo,Defensa,23,https://thumb.resfu.com/media/img/1px.gif,183,72,1,1,1
Temporada2019,B. Dortmund,5,https://thumb.resfu.com/img_data/players/medium/283900.jpg?size=60x&5,Achraf,Defensa,21,https://thumb.resfu.com/media/img/1px.gif,179,68,2,0,4
Temporada2019,B. Dortmund,2,https://thumb.resfu.com/img_data/players/medium/284349.jpg?size=60x&5,D. Zagadou,Defensa,20,https://thumb.resfu.com/media/img/1px.gif,196,75,2,0,4
Temporada2019,B. Dortmund,18,https://thumb.resfu.com/img_data/players/medium/731387.jpg?size=60x&5,L. Balerdi,Defensa,21,https://thumb.resfu.com/media/img/1px.gif,191,85,0,0,0
Temporada2019,B. Dortmund,16,https://thumb.resfu.com/img_data/players/medium/205348.jpg?size=60x&5,M. Akanji,Defensa,24,https://thumb.resfu.com/media/img/1px.gif,187,85,1,0,1
Temporada2019,B. Dortmund,29,https://thumb.resfu.com/img_data/players/medium/21398.jpg?size=60x&5,M. Schmelzer,Defensa,32,https://thumb.resfu.com/media/img/1px.gif,181,74,0,0,1
Temporada2019,B. Dortmund,36,https://thumb.resfu.com/img_data/players/medium/25013.jpg?size=60x&5,O. Toprak,Defensa,30,https://thumb.resfu.com/media/img/1px.gif,186,81,0,0,0
Temporada2019,B. Dortmund,26,https://thumb.resfu.com/img_data/players/medium/2277.jpg?size=60x&5,Ł. Piszczek,Defensa,34,https://thumb.resfu.com/media/img/1px.gif,184,73,1,0,3
Temporada2019,B. Dortmund,28,https://thumb.resfu.com/img_data/players/medium/29774.jpg?size=60x&5,A. Witsel,Centrocampista,31,https://thumb.resfu.com/media/img/1px.gif,186,73,4,0,2
Temporada2019,B. Dortmund,33,https://thumb.resfu.com/img_data/players/medium/185773.jpg?size=60x&5,J. Weigl,Centrocampista,24,https://thumb.resfu.com/media/img/1px.gif,187,71,1,0,3
Temporada2019,B. Dortmund,19,https://thumb.resfu.com/img_data/players/medium/232022.jpg?size=60x&5,M. Dahoud,Centrocampista,24,https://thumb.resfu.com/media/img/1px.gif,177,76,1,0,2
Temporada2019,B. Dortmund,13,https://thumb.resfu.com/img_data/players/medium/149462.jpg?size=60x&5,R. Guerreiro,Centrocampista,26,https://thumb.resfu.com/media/img/1px.gif,170,63,2,0,2
Temporada2019,B. Dortmund,17,https://thumb.resfu.com/img_data/players/medium/342269.jpg?size=60x&5,S. Gómez,Centrocampista,19,https://thumb.resfu.com/media/img/1px.gif,174,62,0,0,0
Temporada2019,B. Dortmund,6,https://thumb.resfu.com/img_data/players/medium/230518.jpg?size=60x&5,T. Delaney,Centrocampista,28,https://thumb.resfu.com/media/img/1px.gif,182,71,3,0,7
