plantilla_temporada,plantilla_equipo,plantilla_dorsal,plantilla_foto,plantilla_name,plantilla_posicion,plantilla_edad,plantilla_pais,plantilla_altura,plantilla_peso,plantilla_goles,plantilla_rojas,plantilla_amarillas
Temporada2018,Bayern München,36,https://thumb.resfu.com/img_data/players/medium/286258.jpg?size=60x&5,C. Früchtl,Portero,20,https://thumb.resfu.com/media/img/1px.gif,193,71,0,0,0
Temporada2018,Bayern München,1,https://thumb.resfu.com/img_data/players/medium/1819.jpg?size=60x&5,M. Neuer,Portero,33,https://thumb.resfu.com/media/img/1px.gif,192,90,0,0,0
Temporada2018,Bayern München,42,https://thumb.resfu.com/img_data/players/medium/291873.jpg?size=60x&5,R. Hoffmann,Portero,20,https://thumb.resfu.com/media/img/1px.gif,192,84,0,0,0
Temporada2018,Bayern München,26,https://thumb.resfu.com/img_data/players/medium/1836.jpg?size=60x&5,S. Ulreich,Portero,31,https://thumb.resfu.com/media/img/1px.gif,192,84,0,0,1
Temporada2018,Bayern München,22,https://thumb.resfu.com/img_data/players/medium/1831.jpg?size=60x&5,T. Starke,Portero,38,https://thumb.resfu.com/media/img/1px.gif,194,91,0,0,0
Temporada2018,Bayern München,27,https://thumb.resfu.com/img_data/players/medium/58931.jpg?size=60x&5,D. Alaba,Defensa,27,https://thumb.resfu.com/media/img/1px.gif,180,76,2,0,1
Temporada2018,Bayern München,14,https://thumb.resfu.com/img_data/players/medium/104151.jpg?size=60x&5,J. Bernat,Defensa,27,https://thumb.resfu.com/media/img/1px.gif,172,67,0,0,1
Temporada2018,Bayern München,17,https://thumb.resfu.com/img_data/players/medium/1855.jpg?size=60x&5,J. Boateng,Defensa,31,https://thumb.resfu.com/media/img/1px.gif,192,90,1,0,4
Temporada2018,Bayern München,32,https://thumb.resfu.com/img_data/players/medium/186172.jpg?size=60x&5,J. Kimmich,Defensa,25,https://thumb.resfu.com/media/img/1px.gif,176,70,1,0,1
Temporada2018,Bayern München,3,https://thumb.resfu.com/img_data/players/medium/348808.jpg?size=60x&5,J. Meier,Defensa,20,https://thumb.resfu.com/media/img/1px.gif,181,78,0,0,0
Temporada2018,Bayern München,15,https://thumb.resfu.com/img_data/players/medium/354196.jpg?size=60x&5,L. Mai,Defensa,19,https://thumb.resfu.com/media/img/1px.gif,190,88,0,0,0
Temporada2018,Bayern München,5,https://thumb.resfu.com/img_data/players/medium/1907.jpg?size=60x&5,M. Hummels,Defensa,31,https://thumb.resfu.com/media/img/1px.gif,192,90,1,0,3
Temporada2018,Bayern München,4,https://thumb.resfu.com/img_data/players/medium/178673.jpg?size=60x&5,N. Süle,Defensa,24,https://thumb.resfu.com/media/img/1px.gif,194,91,2,0,1
Temporada2018,Bayern München,13,https://thumb.resfu.com/img_data/players/medium/21465.jpg?size=60x&5,Rafinha,Defensa,34,https://thumb.resfu.com/media/img/1px.gif,172,68,1,0,4
Temporada2018,Bayern München,23,https://thumb.resfu.com/img_data/players/medium/61471.jpg?size=60x&5,A. Vidal,Centrocampista,32,https://thumb.resfu.com/media/img/1px.gif,181,74,6,0,6
Temporada2018,Bayern München,24,https://thumb.resfu.com/img_data/players/medium/186760.jpg?size=60x&5,C. Tolisso,Centrocampista,25,https://thumb.resfu.com/media/img/1px.gif,181,54,6,0,3
Temporada2018,Bayern München,20,https://thumb.resfu.com/img_data/players/medium/286246.jpg?size=60x&5,F. Götze,Centrocampista,22,https://thumb.resfu.com/media/img/1px.gif,185,78,0,0,0
Temporada2018,Bayern München,8,https://thumb.resfu.com/img_data/players/medium/29974.jpg?size=60x&5,J. Martínez,Centrocampista,31,https://thumb.resfu.com/media/img/1px.gif,190,81,1,0,1
Temporada2018,Bayern München,11,https://thumb.resfu.com/img_data/players/medium/54466.jpg?size=60x&5,James,Centrocampista,28,https://thumb.resfu.com/media/img/1px.gif,180,77,7,0,2
Temporada2018,Bayern München,28,https://thumb.resfu.com/img_data/players/medium/334745.jpg?size=60x&5,K. Okyere Wriedt,Centrocampista,25,https://thumb.resfu.com/media/img/1px.gif,188,82,0,0,0
Temporada2018,Bayern München,16,https://thumb.resfu.com/img_data/players/medium/296500.jpg?size=60x&5,M. Shabani,Centrocampista,21,https://thumb.resfu.com/media/img/1px.gif,185,69,0,0,0
Temporada2018,Bayern München,30,https://thumb.resfu.com/img_data/players/medium/286251.jpg?size=60x&5,N. Dorsch,Centrocampista,22,https://thumb.resfu.com/media/img/1px.gif,175,72,1,0,0
Temporada2018,Bayern München,19,https://thumb.resfu.com/img_data/players/medium/70844.jpg?size=60x&5,S. Rudy,Centrocampista,30,https://thumb.resfu.com/media/img/1px.gif,179,74,1,0,2
Temporada2018,Bayern München,6,https://thumb.resfu.com/img_data/players/medium/29470.jpg?size=60x&5,Thiago,Centrocampista,28,https://thumb.resfu.com/media/img/1px.gif,172,60,2,0,3
Temporada2018,Bayern München,10,https://thumb.resfu.com/img_data/players/medium/5736.jpg?size=60x&5,A. Robben,Delantero,36,https://thumb.resfu.com/media/img/1px.gif,181,75,5,0,0
Temporada2018,Bayern München,18,https://thumb.resfu.com/img_data/players/medium/366211.jpg?size=60x&5,F. Evina,Delantero,19,https://thumb.resfu.com/media/img/1px.gif,177,73,0,0,0
Temporada2018,Bayern München,7,https://thumb.resfu.com/img_data/players/medium/2143.jpg?size=60x&5,F. Ribéry,Delantero,36,https://thumb.resfu.com/media/img/1px.gif,170,73,5,0,3
Temporada2018,Bayern München,29,https://thumb.resfu.com/img_data/players/medium/186338.jpg?size=60x&5,K. Coman,Delantero,23,https://thumb.resfu.com/media/img/1px.gif,178,71,3,0,0
Temporada2018,Bayern München,41,https://thumb.resfu.com/img_data/players/medium/283675.jpg?size=60x&5,M. Pantovic,Delantero,23,https://thumb.resfu.com/media/img/1px.gif,185,67,0,0,0
Temporada2018,Bayern München,9,https://thumb.resfu.com/img_data/players/medium/53536.jpg?size=60x&5,R. Lewandowski,Delantero,31,https://thumb.resfu.com/media/img/1px.gif,183,76,29,0,1
Temporada2018,Bayern München,2,https://thumb.resfu.com/img_data/players/medium/71102.jpg?size=60x&5,S. Wagner,Delantero,32,https://thumb.resfu.com/media/img/1px.gif,194,87,12,0,4
Temporada2018,Bayern München,25,https://thumb.resfu.com/img_data/players/medium/52981.jpg?size=60x&5,T. Müller,Delantero,30,https://thumb.resfu.com/media/img/1px.gif,186,74,8,0,4
Temporada2018,B. Dortmund,35,https://thumb.resfu.com/img_data/players/medium/244535.jpg?size=60x&5,D. Reimann,Portero,22,https://thumb.resfu.com/media/img/1px.gif,186,75,0,0,0
Temporada2018,B. Dortmund,38,https://thumb.resfu.com/img_data/players/medium/67454.jpg?size=60x&5,R. Burki,Portero,29,https://thumb.resfu.com/media/img/1px.gif,185,83,0,0,4
Temporada2018,B. Dortmund,1,https://thumb.resfu.com/img_data/players/medium/1839.jpg?size=60x&5,R. Weidenfeller,Portero,39,https://thumb.resfu.com/media/img/1px.gif,188,85,0,0,0
Temporada2018,B. Dortmund,2,https://thumb.resfu.com/img_data/players/medium/284349.jpg?size=60x&5,D. Zagadou,Defensa,20,https://thumb.resfu.com/media/img/1px.gif,196,75,1,1,0
Temporada2018,B. Dortmund,37,https://thumb.resfu.com/img_data/players/medium/178394.jpg?size=60x&5,E. Durm,Defensa,27,https://thumb.resfu.com/media/img/1px.gif,183,73,0,0,0
Temporada2018,B. Dortmund,15,https://thumb.resfu.com/img_data/players/medium/194166.jpg?size=60x&5,J. Toljan,Defensa,25,https://thumb.resfu.com/media/img/1px.gif,182,76,1,0,1
Temporada2018,B. Dortmund,16,https://thumb.resfu.com/img_data/players/medium/205348.jpg?size=60x&5,M. Akanji,Defensa,24,https://thumb.resfu.com/media/img/1px.gif,187,85,0,0,2
Temporada2018,B. Dortmund,29,https://thumb.resfu.com/img_data/players/medium/21398.jpg?size=60x&5,M. Schmelzer,Defensa,32,https://thumb.resfu.com/media/img/1px.gif,181,74,0,0,3
Temporada2018,B. Dortmund,36,https://thumb.resfu.com/img_data/players/medium/25013.jpg?size=60x&5,O. Toprak,Defensa,30,https://thumb.resfu.com/media/img/1px.gif,186,81,0,0,1
Temporada2018,B. Dortmund,25,https://thumb.resfu.com/img_data/players/medium/23273.jpg?size=60x&5,Sokratis,Defensa,31,https://thumb.resfu.com/media/img/1px.gif,186,85,2,1,5
Temporada2018,B. Dortmund,26,https://thumb.resfu.com/img_data/players/medium/2277.jpg?size=60x&5,Ł. Piszczek,Defensa,34,https://thumb.resfu.com/media/img/1px.gif,184,73,0,0,3
Temporada2018,B. Dortmund,27,https://thumb.resfu.com/img_data/players/medium/67844.jpg?size=60x&5,G. Castro,Centrocampista,32,https://thumb.resfu.com/media/img/1px.gif,171,72,0,0,3
Temporada2018,B. Dortmund,33,https://thumb.resfu.com/img_data/players/medium/185773.jpg?size=60x&5,J. Weigl,Centrocampista,24,https://thumb.resfu.com/media/img/1px.gif,187,71,1,0,4
Temporada2018,B. Dortmund,19,https://thumb.resfu.com/img_data/players/medium/232022.jpg?size=60x&5,M. Dahoud,Centrocampista,24,https://thumb.resfu.com/media/img/1px.gif,177,76,0,0,4
Temporada2018,B. Dortmund,8,https://thumb.resfu.com/img_data/players/medium/1609.jpg?size=60x&5,N. Sahin,Centrocampista,31,https://thumb.resfu.com/media/img/1px.gif,180,72,2,0,2
Temporada2018,B. Dortmund,13,https://thumb.resfu.com/img_data/players/medium/149462.jpg?size=60x&5,R. Guerreiro,Centrocampista,26,https://thumb.resfu.com/media/img/1px.gif,170,63,1,0,0
Temporada2018,B. Dortmund,34,https://thumb.resfu.com/img_data/players/medium/342269.jpg?size=60x&5,S. Gómez,Centrocampista,19,https://thumb.resfu.com/media/img/1px.gif,174,62,0,0,0
Temporada2018,B. Dortmund,23,https://thumb.resfu.com/img_data/players/medium/67842.jpg?size=60x&5,S. Kagawa,Centrocampista,30,https://thumb.resfu.com/media/img/1px.gif,175,68,5,0,0
Temporada2018,B. Dortmund,18,https://thumb.resfu.com/img_data/players/medium/25463.jpg?size=60x&5,S. Rode,Centrocampista,29,https://thumb.resfu.com/media/img/1px.gif,179,67,0,0,0
Temporada2018,B. Dortmund,14,https://thumb.resfu.com/img_data/players/medium/301340.jpg?size=60x&5,A. Isak,Delantero,20,https://thumb.resfu.com/media/img/1px.gif,190,74,0,0,0
Temporada2018,B. Dortmund,21,https://thumb.resfu.com/img_data/players/medium/38419.jpg?size=60x&5,A. Schürrle,Delantero,29,https://thumb.resfu.com/media/img/1px.gif,175,63,1,0,0
Temporada2018,B. Dortmund,9,https://thumb.resfu.com/img_data/players/medium/100620.jpg?size=60x&5,A. Yarmolenko,Delantero,30,https://thumb.resfu.com/media/img/1px.gif,189,81,3,0,0
Temporada2018,B. Dortmund,22,https://thumb.resfu.com/img_data/players/medium/289088.jpg?size=60x&5,C. Pulisic,Delantero,21,https://thumb.resfu.com/media/img/1px.gif,173,63,4,0,1
Temporada2018,B. Dortmund,7,https://thumb.resfu.com/img_data/players/medium/341319.jpg?size=60x&5,J. Sancho,Delantero,19,https://thumb.resfu.com/media/img/1px.gif,179,74,1,0,0
Temporada2018,B. Dortmund,44,https://thumb.resfu.com/img_data/players/medium/111856.jpg?size=60x&5,M. Batshuayi,Delantero,26,https://thumb.resfu.com/media/img/1px.gif,184,78,7,0,2
Temporada2018,B. Dortmund,10,https://thumb.resfu.com/img_data/players/medium/47664.jpg?size=60x&5,M. Götze,Delantero,27,https://thumb.resfu.com/media/img/1px.gif,176,64,2,0,1
Temporada2018,B. Dortmund,20,https://thumb.resfu.com/img_data/players/medium/200936.jpg?size=60x&5,M. Philipp,Delantero,26,https://thumb.resfu.com/media/img/1px.gif,179,74,9,0,0
Temporada2018,B. Dortmund,11,https://thumb.resfu.com/img_data/players/medium/38418.jpg?size=60x&5,M. Reus,Delantero,30,https://thumb.resfu.com/media/img/1px.gif,180,75,7,0,1
Temporada2018,RB Leipzig,1,https://thumb.resfu.com/img_data/players/medium/13237.jpg?size=60x&5,F. Coltorti,Portero,39,https://thumb.resfu.com/media/img/1px.gif,197,95,0,0,0
Temporada2018,RB Leipzig,32,https://thumb.resfu.com/img_data/players/medium/86306.jpg?size=60x&5,P. Gulácsi,Portero,29,https://thumb.resfu.com/media/img/1px.gif,191,83,0,0,1
