TEMPORADA,JORNADA,REFERIDO,LOCAL,VISITANTE,RESULTADO,RIVALIDAD,ROTACION TITULARES,ROTACION SUPLENTES,ROTACION PORTEROS,ROTACION DEFENSAS,ROTACION MEDIOS,ROTACION DELANTEROS,DIAS DESCANSO
Temporada2020,Jornada 3,VISITANTE,Torino,Lecce,GANADO,16,4,4,0,2,2,1,15
Temporada2020,Jornada 3,LOCAL,Hellas Verona,Milan,PERDIDO,-6,2,0,0,0,1,1,14
Temporada2020,Jornada 3,VISITANTE,Hellas Verona,Milan,GANADO,6,3,1,0,0,2,1,15
Temporada2020,Jornada 4,LOCAL,Milan,Inter,PERDIDO,6,2,-1,0,1,1,1,6
Temporada2020,Jornada 4,VISITANTE,Milan,Inter,GANADO,-6,2,-1,0,1,1,1,4
Temporada2020,Jornada 4,LOCAL,Atalanta,Fiorentina,EMPATADO,-14,5,5,0,2,2,2,4
Temporada2020,Jornada 4,VISITANTE,Atalanta,Fiorentina,EMPATADO,14,0,0,0,2,0,0,8
Temporada2020,Jornada 4,LOCAL,Bologna,Roma,PERDIDO,-6,2,-2,0,0,1,1,7
Temporada2020,Jornada 4,VISITANTE,Bologna,Roma,GANADO,6,0,-2,0,0,0,0,3
Temporada2020,Jornada 4,LOCAL,Cagliari,Genoa,GANADO,3,1,0,0,0,1,0,5
Temporada2020,Jornada 4,VISITANTE,Cagliari,Genoa,PERDIDO,-3,5,3,0,3,1,1,5
Temporada2020,Jornada 4,LOCAL,Juventus,Hellas Verona,GANADO,-8,6,3,1,1,2,2,3
Temporada2020,Jornada 4,VISITANTE,Juventus,Hellas Verona,PERDIDO,8,1,-1,0,0,0,1,6
Temporada2020,Jornada 4,LOCAL,Lazio,Parma,GANADO,-6,4,1,0,1,2,1,3
Temporada2020,Jornada 4,VISITANTE,Lazio,Parma,PERDIDO,6,1,1,0,2,0,0,7
Temporada2020,Jornada 4,LOCAL,Lecce,Napoli,PERDIDO,14,1,2,0,0,1,1,6
Temporada2020,Jornada 4,VISITANTE,Lecce,Napoli,GANADO,-14,6,5,1,2,0,3,5
Temporada2020,Jornada 4,LOCAL,Sampdoria,Torino,GANADO,14,4,0,0,2,1,1,8
Temporada2020,Jornada 4,VISITANTE,Sampdoria,Torino,PERDIDO,-14,3,2,0,2,0,1,6
Temporada2020,Jornada 4,LOCAL,Sassuolo,SPAL,GANADO,-4,2,-2,0,1,1,0,7
Temporada2020,Jornada 4,VISITANTE,Sassuolo,SPAL,PERDIDO,4,1,0,0,1,1,0,7
Temporada2020,Jornada 4,LOCAL,Udinese,Brescia,PERDIDO,3,2,1,0,1,0,1,7
Temporada2020,Jornada 4,VISITANTE,Udinese,Brescia,GANADO,-3,1,2,0,0,1,0,6
Temporada2020,Jornada 5,LOCAL,Roma,Atalanta,PERDIDO,-2,3,0,0,2,1,1,3
Temporada2020,Jornada 5,VISITANTE,Roma,Atalanta,GANADO,2,6,5,0,3,1,2,3
Temporada2020,Jornada 5,LOCAL,Brescia,Juventus,PERDIDO,9,2,3,0,0,1,1,3
Temporada2020,Jornada 5,VISITANTE,Brescia,Juventus,GANADO,-9,6,4,1,1,3,2,3
Temporada2020,Jornada 5,LOCAL,Fiorentina,Sampdoria,GANADO,1,0,-1,0,2,0,0,3
Temporada2020,Jornada 5,VISITANTE,Fiorentina,Sampdoria,PERDIDO,-1,3,-1,0,1,1,2,3
Temporada2020,Jornada 5,LOCAL,Genoa,Bologna,EMPATADO,7,5,3,0,3,1,1,5
Temporada2020,Jornada 5,VISITANTE,Genoa,Bologna,EMPATADO,-7,2,-2,0,1,1,1,3
Temporada2020,Jornada 5,LOCAL,Inter,Lazio,GANADO,-4,3,0,0,0,2,1,4
Temporada2020,Jornada 5,VISITANTE,Inter,Lazio,PERDIDO,4,5,1,0,1,3,1,3
Temporada2020,Jornada 5,LOCAL,Napoli,Cagliari,PERDIDO,-6,8,5,1,3,2,3,3
Temporada2020,Jornada 5,VISITANTE,Napoli,Cagliari,GANADO,6,4,4,0,2,2,0,5
Temporada2020,Jornada 5,LOCAL,Parma,Sassuolo,GANADO,7,2,1,0,2,1,0,3
Temporada2020,Jornada 5,VISITANTE,Parma,Sassuolo,PERDIDO,-7,4,2,0,1,2,1,3
Temporada2020,Jornada 5,LOCAL,SPAL,Lecce,PERDIDO,-1,3,2,0,2,2,1,3
Temporada2020,Jornada 5,VISITANTE,SPAL,Lecce,GANADO,1,2,4,0,0,1,1,3
Temporada2020,Jornada 5,LOCAL,Torino,Milan,GANADO,-2,1,1,0,0,1,1,4
Temporada2020,Jornada 5,VISITANTE,Torino,Milan,PERDIDO,2,3,0,0,2,1,0,5
Temporada2020,Jornada 5,LOCAL,Hellas Verona,Udinese,EMPATADO,-3,2,1,0,1,1,0,3
Temporada2020,Jornada 5,VISITANTE,Hellas Verona,Udinese,EMPATADO,3,3,0,0,1,2,0,3
Temporada2020,Jornada 6,LOCAL,Milan,Fiorentina,PERDIDO,-2,0,-2,0,0,0,0,3
Temporada2020,Jornada 6,VISITANTE,Milan,Fiorentina,GANADO,2,0,-1,0,2,0,0,4
Temporada2020,Jornada 6,LOCAL,Cagliari,Hellas Verona,EMPATADO,-11,4,4,0,2,2,0,4
Temporada2020,Jornada 6,VISITANTE,Cagliari,Hellas Verona,EMPATADO,11,2,1,0,0,1,1,5
Temporada2020,Jornada 6,LOCAL,Juventus,SPAL,GANADO,-17,4,2,1,3,1,2,4
Temporada2020,Jornada 6,VISITANTE,Juventus,SPAL,PERDIDO,17,5,3,0,3,1,2,3
Temporada2020,Jornada 6,LOCAL,Lazio,Genoa,GANADO,-8,5,1,0,1,3,1,4
Temporada2020,Jornada 6,VISITANTE,Lazio,Genoa,PERDIDO,8,3,2,0,1,1,1,4
Temporada2020,Jornada 6,LOCAL,Lecce,Roma,PERDIDO,7,1,2,0,0,1,0,4
Temporada2020,Jornada 6,VISITANTE,Lecce,Roma,GANADO,-7,4,1,0,2,2,1,4
Temporada2020,Jornada 6,LOCAL,Napoli,Brescia,GANADO,-7,4,1,1,1,1,2,4
Temporada2020,Jornada 6,VISITANTE,Napoli,Brescia,PERDIDO,7,2,2,0,2,1,0,5
Temporada2020,Jornada 6,LOCAL,Parma,Torino,GANADO,6,2,1,0,1,0,1,5
Temporada2020,Jornada 6,VISITANTE,Parma,Torino,PERDIDO,-6,3,2,0,2,1,1,4
Temporada2020,Jornada 6,LOCAL,Sampdoria,Inter,PERDIDO,19,5,1,0,1,2,2,3
Temporada2020,Jornada 6,VISITANTE,Sampdoria,Inter,GANADO,-19,7,4,0,2,4,2,3
Temporada2020,Jornada 6,LOCAL,Sassuolo,Atalanta,PERDIDO,7,4,0,0,1,2,1,3
Temporada2020,Jornada 6,VISITANTE,Sassuolo,Atalanta,GANADO,-7,6,6,1,3,2,1,3
Temporada2020,Jornada 6,LOCAL,Udinese,Bologna,GANADO,10,2,1,0,0,1,2,5
Temporada2020,Jornada 6,VISITANTE,Udinese,Bologna,PERDIDO,-10,2,0,0,0,1,1,4
Temporada2020,Jornada 7,LOCAL,Roma,Cagliari,EMPATADO,-2,3,0,0,1,2,0,3
Temporada2020,Jornada 7,VISITANTE,Roma,Cagliari,EMPATADO,2,1,1,0,0,1,0,7
Temporada2020,Jornada 7,LOCAL,Atalanta,Lecce,GANADO,-14,5,5,1,3,1,0,5
