TEMPORADA,JORNADA,REFERIDO,LOCAL,VISITANTE,RESULTADO,RIVALIDAD,ROTACION TITULARES,ROTACION SUPLENTES,ROTACION PORTEROS,ROTACION DEFENSAS,ROTACION MEDIOS,ROTACION DELANTEROS,DIAS DESCANSO
Temporada2020,Jornada 3,LOCAL,Schalke 04,Hertha BSC,GANADO,1,1,4,0,1,0,0,7
Temporada2020,Jornada 3,VISITANTE,Schalke 04,Hertha BSC,PERDIDO,-1,1,4,0,1,0,1,6
Temporada2020,Jornada 3,LOCAL,Union Berlin,B. Dortmund,GANADO,13,3,2,0,1,1,1,7
Temporada2020,Jornada 3,VISITANTE,Union Berlin,B. Dortmund,PERDIDO,-13,3,2,0,1,2,1,8
Temporada2020,Jornada 3,LOCAL,Werder Bremen,FC Augsburg,GANADO,3,2,3,0,1,0,1,8
Temporada2020,Jornada 3,VISITANTE,Werder Bremen,FC Augsburg,PERDIDO,-3,2,1,0,1,1,1,8
Temporada2020,Jornada 3,LOCAL,Wolfsburg,Paderborn,EMPATADO,-11,1,1,0,0,0,1,6
Temporada2020,Jornada 3,VISITANTE,Wolfsburg,Paderborn,EMPATADO,11,0,2,0,0,0,0,7
Temporada2020,Jornada 4,LOCAL,FC Augsburg,Eintracht,GANADO,9,3,2,0,1,1,1,13
Temporada2020,Jornada 4,VISITANTE,FC Augsburg,Eintracht,PERDIDO,-9,11,7,1,0,0,0,13
Temporada2020,Jornada 4,LOCAL,B. Dortmund,B. Leverkusen,GANADO,1,2,2,0,1,2,0,14
Temporada2020,Jornada 4,VISITANTE,B. Dortmund,B. Leverkusen,PERDIDO,-1,2,0,0,0,2,1,14
Temporada2020,Jornada 4,LOCAL,Fortuna,Wolfsburg,EMPATADO,9,11,7,1,0,0,0,12
Temporada2020,Jornada 4,VISITANTE,Fortuna,Wolfsburg,EMPATADO,-9,4,4,1,1,1,1,13
Temporada2020,Jornada 4,LOCAL,Köln,Monchengladbach,PERDIDO,6,1,3,0,0,1,1,14
Temporada2020,Jornada 4,VISITANTE,Köln,Monchengladbach,GANADO,-6,11,7,1,0,0,0,15
Temporada2020,Jornada 4,LOCAL,Hoffenheim,SC Freiburg,PERDIDO,3,0,4,0,0,0,0,15
Temporada2020,Jornada 4,VISITANTE,Hoffenheim,SC Freiburg,GANADO,-3,4,4,0,1,2,3,15
Temporada2020,Jornada 4,LOCAL,Mainz 05,Hertha BSC,GANADO,1,6,5,1,2,1,2,14
Temporada2020,Jornada 4,VISITANTE,Mainz 05,Hertha BSC,PERDIDO,-1,5,4,0,3,1,2,14
Temporada2020,Jornada 4,LOCAL,Paderborn,Schalke 04,PERDIDO,5,0,1,0,0,0,0,15
Temporada2020,Jornada 4,VISITANTE,Paderborn,Schalke 04,GANADO,-5,2,3,0,0,1,1,15
Temporada2020,Jornada 4,LOCAL,RB Leipzig,Bayern München,EMPATADO,-1,1,2,0,1,1,0,15
Temporada2020,Jornada 4,VISITANTE,RB Leipzig,Bayern München,EMPATADO,1,3,2,0,1,1,2,14
Temporada2020,Jornada 4,LOCAL,Union Berlin,Werder Bremen,PERDIDO,-2,1,0,0,0,1,0,14
Temporada2020,Jornada 4,VISITANTE,Union Berlin,Werder Bremen,GANADO,2,3,3,0,1,2,1,13
Temporada2020,Jornada 5,LOCAL,B. Leverkusen,Union Berlin,GANADO,-4,2,2,0,1,0,1,3
Temporada2020,Jornada 5,VISITANTE,B. Leverkusen,Union Berlin,PERDIDO,4,2,-1,0,1,0,1,7
Temporada2020,Jornada 5,LOCAL,Bayern München,Köln,GANADO,-11,3,3,0,0,2,2,3
Temporada2020,Jornada 5,VISITANTE,Bayern München,Köln,PERDIDO,11,3,3,0,0,2,1,7
Temporada2020,Jornada 5,LOCAL,Monchengladbach,Fortuna,GANADO,-4,11,7,1,0,0,0,3
Temporada2020,Jornada 5,VISITANTE,Monchengladbach,Fortuna,PERDIDO,4,11,7,1,0,0,0,9
Temporada2020,Jornada 5,LOCAL,Eintracht,B. Dortmund,EMPATADO,7,11,7,1,0,0,0,3
Temporada2020,Jornada 5,VISITANTE,Eintracht,B. Dortmund,EMPATADO,-7,1,3,0,0,1,1,5
Temporada2020,Jornada 5,LOCAL,SC Freiburg,FC Augsburg,EMPATADO,-11,0,0,0,0,0,0,6
Temporada2020,Jornada 5,VISITANTE,SC Freiburg,FC Augsburg,EMPATADO,11,2,2,0,1,0,1,7
Temporada2020,Jornada 5,LOCAL,Hertha BSC,Paderborn,GANADO,1,2,1,0,1,0,1,7
Temporada2020,Jornada 5,VISITANTE,Hertha BSC,Paderborn,PERDIDO,-1,1,0,0,0,0,1,6
Temporada2020,Jornada 5,LOCAL,Schalke 04,Mainz 05,GANADO,-10,1,1,0,0,1,1,5
Temporada2020,Jornada 5,VISITANTE,Schalke 04,Mainz 05,PERDIDO,10,0,1,0,0,0,0,6
Temporada2020,Jornada 5,LOCAL,Werder Bremen,RB Leipzig,PERDIDO,9,3,3,0,0,1,2,7
Temporada2020,Jornada 5,VISITANTE,Werder Bremen,RB Leipzig,GANADO,-9,3,3,0,1,1,1,4
Temporada2020,Jornada 5,LOCAL,Wolfsburg,Hoffenheim,EMPATADO,-8,1,3,0,1,0,1,4
Temporada2020,Jornada 5,VISITANTE,Wolfsburg,Hoffenheim,EMPATADO,8,2,2,0,2,0,1,8
Temporada2020,Jornada 6,LOCAL,FC Augsburg,B. Leverkusen,PERDIDO,5,2,3,0,2,1,1,7
Temporada2020,Jornada 6,VISITANTE,FC Augsburg,B. Leverkusen,GANADO,-5,2,2,0,2,0,0,7
