TEMPORADA,JORNADA,REFERIDO,LOCAL,VISITANTE,RESULTADO,RIVALIDAD,ROTACION TITULARES,ROTACION SUPLENTES,ROTACION PORTEROS,ROTACION DEFENSAS,ROTACION MEDIOS,ROTACION DELANTEROS,DIAS DESCANSO
Temporada2020,Jornada 3,LOCAL,Sevilla,Celta de Vigo,EMPATADO,-11,1,4,0,0,0,1,7
Temporada2020,Jornada 3,VISITANTE,Sevilla,Celta de Vigo,EMPATADO,11,0,2,0,0,0,0,6
Temporada2020,Jornada 3,LOCAL,Valencia,Real Mallorca,GANADO,6,4,3,0,2,2,1,8
Temporada2020,Jornada 3,VISITANTE,Valencia,Real Mallorca,PERDIDO,-6,0,2,0,0,0,0,7
Temporada2020,Jornada 3,LOCAL,Villarreal,Real Madrid,EMPATADO,10,1,1,0,1,0,0,9
Temporada2020,Jornada 3,VISITANTE,Villarreal,Real Madrid,EMPATADO,-10,3,4,0,1,2,2,8
Temporada2020,Jornada 4,LOCAL,Alavés,Sevilla,PERDIDO,4,3,5,1,1,1,1,15
Temporada2020,Jornada 4,VISITANTE,Alavés,Sevilla,GANADO,-4,2,4,0,0,1,2,16
Temporada2020,Jornada 4,LOCAL,Barcelona,Valencia,GANADO,-2,2,4,0,0,2,1,14
Temporada2020,Jornada 4,VISITANTE,Barcelona,Valencia,PERDIDO,2,1,1,0,1,0,0,13
Temporada2020,Jornada 4,LOCAL,Real Betis,Getafe,EMPATADO,-2,3,2,0,1,1,1,15
Temporada2020,Jornada 4,VISITANTE,Real Betis,Getafe,EMPATADO,2,2,4,0,0,2,1,15
Temporada2020,Jornada 4,LOCAL,Celta de Vigo,Granada,PERDIDO,2,3,4,0,2,0,1,16
Temporada2020,Jornada 4,VISITANTE,Celta de Vigo,Granada,GANADO,-2,0,2,0,0,0,0,14
Temporada2020,Jornada 4,LOCAL,Eibar,Espanyol,PERDIDO,-1,2,3,1,1,2,1,14
Temporada2020,Jornada 4,VISITANTE,Eibar,Espanyol,GANADO,1,3,5,0,1,0,2,14
Temporada2020,Jornada 4,LOCAL,Leganés,Villarreal,PERDIDO,4,3,4,1,2,0,1,14
Temporada2020,Jornada 4,VISITANTE,Leganés,Villarreal,GANADO,-4,3,3,1,0,1,1,13
Temporada2020,Jornada 4,LOCAL,Real Mallorca,Athletic Bilbao,EMPATADO,12,1,4,0,1,0,0,12
Temporada2020,Jornada 4,VISITANTE,Real Mallorca,Athletic Bilbao,EMPATADO,-12,0,0,0,0,0,0,14
Temporada2020,Jornada 4,LOCAL,Real Madrid,Levante,GANADO,1,3,6,0,1,1,2,13
Temporada2020,Jornada 4,VISITANTE,Real Madrid,Levante,PERDIDO,-1,1,4,0,1,0,1,14
Temporada2020,Jornada 4,LOCAL,Real Sociedad,Atlético Madrid,GANADO,12,4,3,0,2,1,2,15
Temporada2020,Jornada 4,VISITANTE,Real Sociedad,Atlético Madrid,PERDIDO,-12,2,3,0,1,1,0,13
Temporada2020,Jornada 4,LOCAL,Real Valladolid,Osasuna,EMPATADO,6,0,4,0,2,0,0,15
Temporada2020,Jornada 4,VISITANTE,Real Valladolid,Osasuna,EMPATADO,-6,0,2,0,0,0,0,15
Temporada2020,Jornada 5,LOCAL,Athletic Bilbao,Alavés,GANADO,-7,1,2,0,0,0,1,9
Temporada2020,Jornada 5,VISITANTE,Athletic Bilbao,Alavés,PERDIDO,7,3,4,0,1,1,1,7
Temporada2020,Jornada 5,LOCAL,Atlético Madrid,Celta de Vigo,EMPATADO,-14,3,4,0,1,2,1,3
Temporada2020,Jornada 5,VISITANTE,Atlético Madrid,Celta de Vigo,EMPATADO,14,3,2,0,1,2,0,6
Temporada2020,Jornada 5,LOCAL,Espanyol,Real Sociedad,PERDIDO,10,4,5,0,2,0,2,3
Temporada2020,Jornada 5,VISITANTE,Espanyol,Real Sociedad,GANADO,-10,1,2,0,0,0,1,8
Temporada2020,Jornada 5,LOCAL,Getafe,Real Mallorca,GANADO,4,0,2,0,0,0,0,3
Temporada2020,Jornada 5,VISITANTE,Getafe,Real Mallorca,PERDIDO,-4,1,3,0,1,0,0,9
Temporada2020,Jornada 5,LOCAL,Granada,Barcelona,GANADO,1,2,2,0,1,1,0,6
Temporada2020,Jornada 5,VISITANTE,Granada,Barcelona,PERDIDO,-1,4,6,0,1,2,1,4
Temporada2020,Jornada 5,LOCAL,Levante,Eibar,EMPATADO,-11,3,4,0,2,1,1,7
Temporada2020,Jornada 5,VISITANTE,Levante,Eibar,EMPATADO,11,2,3,0,0,1,2,6
Temporada2020,Jornada 5,LOCAL,Osasuna,Real Betis,EMPATADO,-6,1,3,0,0,0,1,5
Temporada2020,Jornada 5,VISITANTE,Osasuna,Real Betis,EMPATADO,6,5,4,0,3,2,1,5
Temporada2020,Jornada 5,LOCAL,Sevilla,Real Madrid,PERDIDO,-2,1,3,0,0,1,0,3
Temporada2020,Jornada 5,VISITANTE,Sevilla,Real Madrid,GANADO,2,3,3,0,1,0,2,4
Temporada2020,Jornada 5,LOCAL,Valencia,Leganés,EMPATADO,-7,2,2,0,0,1,1,5
Temporada2020,Jornada 5,VISITANTE,Valencia,Leganés,EMPATADO,7,4,4,0,1,1,2,8
Temporada2020,Jornada 5,LOCAL,Villarreal,Real Valladolid,GANADO,-2,1,2,0,1,0,0,7
Temporada2020,Jornada 5,VISITANTE,Villarreal,Real Valladolid,PERDIDO,2,4,5,0,2,1,2,6
Temporada2020,Jornada 6,LOCAL,Barcelona,Villarreal,GANADO,1,3,4,0,0,2,1,3
Temporada2020,Jornada 6,VISITANTE,Barcelona,Villarreal,PERDIDO,-1,2,5,0,0,1,1,3
Temporada2020,Jornada 6,LOCAL,Real Betis,Levante,GANADO,5,5,3,0,3,2,1,4
Temporada2020,Jornada 6,VISITANTE,Real Betis,Levante,PERDIDO,-5,8,7,0,4,2,2,3
Temporada2020,Jornada 6,LOCAL,Celta de Vigo,Espanyol,EMPATADO,-2,1,2,0,0,1,0,5
Temporada2020,Jornada 6,VISITANTE,Celta de Vigo,Espanyol,EMPATADO,2,3,3,0,3,1,0,4
Temporada2020,Jornada 6,LOCAL,Eibar,Sevilla,GANADO,14,1,1,0,1,0,0,5
Temporada2020,Jornada 6,VISITANTE,Eibar,Sevilla,PERDIDO,-14,3,4,0,1,1,1,4
Temporada2020,Jornada 6,LOCAL,Leganés,Athletic Bilbao,EMPATADO,19,5,6,0,3,1,2,3
Temporada2020,Jornada 6,VISITANTE,Leganés,Athletic Bilbao,EMPATADO,-19,5,5,1,1,1,2,3
Temporada2020,Jornada 6,LOCAL,Real Mallorca,Atlético Madrid,PERDIDO,11,2,4,0,1,1,0,3
Temporada2020,Jornada 6,VISITANTE,Real Mallorca,Atlético Madrid,GANADO,-11,4,4,0,2,2,1,4
Temporada2020,Jornada 6,LOCAL,Real Madrid,Osasuna,GANADO,-8,8,7,1,3,1,3,3
Temporada2020,Jornada 6,VISITANTE,Real Madrid,Osasuna,PERDIDO,8,7,6,1,3,2,2,5
Temporada2020,Jornada 6,LOCAL,Real Sociedad,Alavés,GANADO,-9,11,7,1,4,3,3,4
Temporada2020,Jornada 6,VISITANTE,Real Sociedad,Alavés,PERDIDO,9,11,7,1,4,3,2,4
Temporada2020,Jornada 6,LOCAL,Valencia,Getafe,EMPATADO,1,6,5,1,3,1,2,3
Temporada2020,Jornada 6,VISITANTE,Valencia,Getafe,EMPATADO,-1,0,1,0,0,0,0,3
Temporada2020,Jornada 6,LOCAL,Real Valladolid,Granada,EMPATADO,12,4,4,0,3,1,1,3
Temporada2020,Jornada 6,VISITANTE,Real Valladolid,Granada,EMPATADO,-12,5,5,0,1,2,2,3
Temporada2020,Jornada 7,LOCAL,Atlético Madrid,Real Madrid,EMPATADO,2,2,3,0,2,0,0,3
Temporada2020,Jornada 7,VISITANTE,Atlético Madrid,Real Madrid,EMPATADO,-2,6,6,1,0,0,3,3
Temporada2020,Jornada 7,LOCAL,Alavés,Real Mallorca,GANADO,-2,11,7,1,4,2,2,3
Temporada2020,Jornada 7,VISITANTE,Alavés,Real Mallorca,PERDIDO,2,2,4,0,1,1,0,4
Temporada2020,Jornada 7,LOCAL,Athletic Bilbao,Valencia,PERDIDO,-9,5,5,1,1,1,2,3
Temporada2020,Jornada 7,VISITANTE,Athletic Bilbao,Valencia,GANADO,9,6,6,1,2,2,1,3
Temporada2020,Jornada 7,LOCAL,Eibar,Celta de Vigo,GANADO,1,4,4,1,1,3,1,3
Temporada2020,Jornada 7,VISITANTE,Eibar,Celta de Vigo,PERDIDO,-1,2,2,0,0,2,0,3
Temporada2020,Jornada 7,LOCAL,Espanyol,Real Valladolid,PERDIDO,4,1,4,0,0,1,1,3
Temporada2020,Jornada 7,VISITANTE,Espanyol,Real Valladolid,GANADO,-4,1,2,0,2,1,0,5
Temporada2020,Jornada 7,LOCAL,Getafe,Barcelona,PERDIDO,4,2,2,0,1,1,1,3
Temporada2020,Jornada 7,VISITANTE,Getafe,Barcelona,GANADO,-4,2,5,0,1,1,1,4
Temporada2020,Jornada 7,LOCAL,Granada,Leganés,GANADO,-15,5,5,0,1,2,2,4
Temporada2020,Jornada 7,VISITANTE,Granada,Leganés,PERDIDO,15,4,5,0,2,1,1,3
Temporada2020,Jornada 7,LOCAL,Levante,Osasuna,EMPATADO,-1,5,6,0,3,1,2,5
Temporada2020,Jornada 7,VISITANTE,Levante,Osasuna,EMPATADO,1,7,6,1,3,2,2,4
Temporada2020,Jornada 7,LOCAL,Sevilla,Real Sociedad,GANADO,5,4,5,0,2,1,2,3
Temporada2020,Jornada 7,VISITANTE,Sevilla,Real Sociedad,PERDIDO,-5,11,7,1,4,3,3,3
Temporada2020,Jornada 7,LOCAL,Villarreal,Real Betis,GANADO,-1,2,4,0,0,1,1,3
Temporada2020,Jornada 7,VISITANTE,Villarreal,Real Betis,PERDIDO,1,3,2,0,3,1,0,3
Temporada2020,Jornada 8,LOCAL,Barcelona,Sevilla,GANADO,-2,5,5,0,2,1,2,4
Temporada2020,Jornada 8,VISITANTE,Barcelona,Sevilla,PERDIDO,2,1,5,0,1,0,0,3
Temporada2020,Jornada 8,LOCAL,Real Betis,Eibar,EMPATADO,4,2,3,0,1,1,0,7
Temporada2020,Jornada 8,VISITANTE,Real Betis,Eibar,EMPATADO,-4,2,2,1,1,1,0,5
Temporada2020,Jornada 8,LOCAL,Celta de Vigo,Athletic Bilbao,GANADO,10,1,1,0,0,1,0,7
Temporada2020,Jornada 8,VISITANTE,Celta de Vigo,Athletic Bilbao,PERDIDO,-10,3,2,0,2,1,1,8
Temporada2020,Jornada 8,LOCAL,Leganés,Levante,PERDIDO,8,4,5,0,2,1,2,7
Temporada2020,Jornada 8,VISITANTE,Leganés,Levante,GANADO,-8,3,4,0,1,1,2,6
Temporada2020,Jornada 8,LOCAL,Real Mallorca,Espanyol,GANADO,1,2,3,0,1,1,0,7
Temporada2020,Jornada 8,VISITANTE,Real Mallorca,Espanyol,PERDIDO,-1,6,5,0,4,1,2,3
Temporada2020,Jornada 8,LOCAL,Osasuna,Villarreal,GANADO,5,1,2,0,1,0,0,6
Temporada2020,Jornada 8,VISITANTE,Osasuna,Villarreal,PERDIDO,-5,1,1,0,0,1,1,8
Temporada2020,Jornada 8,LOCAL,Real Madrid,Granada,GANADO,-1,2,3,1,2,0,0,4
Temporada2020,Jornada 8,VISITANTE,Real Madrid,Granada,PERDIDO,1,0,1,0,0,0,0,7
Temporada2020,Jornada 8,LOCAL,Real Sociedad,Getafe,PERDIDO,-11,3,3,0,0,2,1,7
Temporada2020,Jornada 8,VISITANTE,Real Sociedad,Getafe,GANADO,11,3,3,0,1,2,1,3
Temporada2020,Jornada 8,LOCAL,Valencia,Alavés,GANADO,-5,1,1,0,1,0,0,3
Temporada2020,Jornada 8,VISITANTE,Valencia,Alavés,PERDIDO,5,3,3,1,0,1,2,6
Temporada2020,Jornada 8,LOCAL,Real Valladolid,Atlético Madrid,EMPATADO,7,1,4,0,1,1,0,7
Temporada2020,Jornada 8,VISITANTE,Real Valladolid,Atlético Madrid,EMPATADO,-7,1,0,0,0,1,1,5
Temporada2020,Jornada 9,LOCAL,Alavés,Celta de Vigo,GANADO,2,5,5,1,2,1,1,15
Temporada2020,Jornada 9,VISITANTE,Alavés,Celta de Vigo,PERDIDO,-2,2,3,0,2,0,0,14
Temporada2020,Jornada 9,LOCAL,Athletic Bilbao,Real Valladolid,EMPATADO,-6,2,2,0,1,1,1,14
Temporada2020,Jornada 9,VISITANTE,Athletic Bilbao,Real Valladolid,EMPATADO,6,1,6,0,2,0,1,14
Temporada2020,Jornada 9,LOCAL,Atlético Madrid,Valencia,EMPATADO,-5,3,2,0,3,0,0,13
Temporada2020,Jornada 9,VISITANTE,Atlético Madrid,Valencia,EMPATADO,5,1,2,0,0,1,1,14
