clasificacion_temporada,clasificacion_jornada,clasificacion_posicion,clasificacion_equipo,clasificacion_puntos,clasificacion_partidos_jugados,clasificacion_ganados,clasificacion_empatados,clasificacion_perdidos,clasificacion_goles_favor,clasificacion_goles_contra
Temporada2020,Jornada 4,17,SPAL,3,4,1,0,3,4,8
Temporada2020,Jornada 4,18,Lecce,3,4,1,0,3,3,10
Temporada2020,Jornada 4,19,Sampdoria,3,4,1,0,3,2,9
Temporada2020,Jornada 4,20,Fiorentina,2,4,0,2,2,6,8
Temporada2020,Jornada 5,1,Inter,15,5,5,0,0,10,1
Temporada2020,Jornada 5,2,Juventus,13,5,4,1,0,9,5
Temporada2020,Jornada 5,3,Atalanta,10,5,3,1,1,11,8
Temporada2020,Jornada 5,4,Napoli,9,5,3,0,2,13,9
Temporada2020,Jornada 5,5,Cagliari,9,5,3,0,2,8,5
Temporada2020,Jornada 5,6,Torino,9,5,3,0,2,8,7
Temporada2020,Jornada 5,7,Roma,8,5,2,2,1,10,9
Temporada2020,Jornada 5,8,Bologna,8,5,2,2,1,7,6
Temporada2020,Jornada 5,9,Lazio,7,5,2,1,2,7,4
Temporada2020,Jornada 5,10,Sassuolo,6,5,2,0,3,10,8
Temporada2020,Jornada 5,11,Brescia,6,5,2,0,3,6,7
Temporada2020,Jornada 5,12,Parma,6,5,2,0,3,5,7
Temporada2020,Jornada 5,13,Milan,6,5,2,0,3,3,5
Temporada2020,Jornada 5,14,Lecce,6,5,2,0,3,6,11
Temporada2020,Jornada 5,15,Fiorentina,5,5,1,2,2,8,9
Temporada2020,Jornada 5,16,Hellas Verona,5,5,1,2,2,3,4
Temporada2020,Jornada 5,17,Genoa,5,5,1,2,2,7,9
Temporada2020,Jornada 5,18,Udinese,4,5,1,1,3,2,5
Temporada2020,Jornada 5,19,SPAL,3,5,1,0,4,5,11
Temporada2020,Jornada 5,20,Sampdoria,3,5,1,0,4,3,11
Temporada2020,Jornada 6,1,Inter,18,6,6,0,0,13,2
Temporada2020,Jornada 6,2,Juventus,16,6,5,1,0,11,5
Temporada2020,Jornada 6,3,Atalanta,13,6,4,1,1,15,9
Temporada2020,Jornada 6,4,Napoli,12,6,4,0,2,15,10
Temporada2020,Jornada 6,5,Roma,11,6,3,2,1,11,9
Temporada2020,Jornada 6,6,Lazio,10,6,3,1,2,11,4
Temporada2020,Jornada 6,7,Cagliari,10,6,3,1,2,9,6
Temporada2020,Jornada 6,8,Torino,9,6,3,0,3,10,10
Temporada2020,Jornada 6,9,Parma,9,6,3,0,3,8,9
Temporada2020,Jornada 6,10,Fiorentina,8,6,2,2,2,11,10
Temporada2020,Jornada 6,11,Bologna,8,6,2,2,2,7,7
Temporada2020,Jornada 6,12,Udinese,7,6,2,1,3,3,5
Temporada2020,Jornada 6,13,Sassuolo,6,6,2,0,4,11,12
Temporada2020,Jornada 6,14,Hellas Verona,6,6,1,3,2,4,5
Temporada2020,Jornada 6,15,Brescia,6,6,2,0,4,7,9
Temporada2020,Jornada 6,16,Milan,6,6,2,0,4,4,8
Temporada2020,Jornada 6,17,Lecce,6,6,2,0,4,6,12
Temporada2020,Jornada 6,18,Genoa,5,6,1,2,3,7,13
