Equipo,Jornada,Temporada,Cambios_defensa_partido,Cambio_jugador_lesion,Titulares_cambiados_jornada_anterior,Puntos_y,cut1_y,cut2_y
Eibar,Jornada 4,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Espanyol,Jornada 4,Temporada2017,0,1,1,"-0,2592909","-0,1656797","0,5385935"
Granada,Jornada 4,Temporada2017,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Las Palmas,Jornada 4,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Leganés,Jornada 4,Temporada2017,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Málaga,Jornada 4,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Osasuna,Jornada 4,Temporada2017,0,0,6,"-0,1317882","-0,2931824","0,4110908"
Real Betis,Jornada 4,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Real Madrid,Jornada 4,Temporada2017,0,1,7,"-0,3910791","-0,0338915","0,6703817"
Real Sociedad,Jornada 4,Temporada2017,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Real Sporting,Jornada 4,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Sevilla,Jornada 4,Temporada2017,2,1,7,"-1,0506439","0,6256733","1,3299465"
Valencia,Jornada 4,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Villarreal,Jornada 4,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Alavés,Jornada 5,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Athletic Bilbao,Jornada 5,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Atlético Madrid,Jornada 5,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Barcelona,Jornada 5,Temporada2017,0,1,2,"-0,2812556","-0,143715","0,5605582"
Celta de Vigo,Jornada 5,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Deportivo,Jornada 5,Temporada2017,1,0,1,"-0,3517471","-0,0732235","0,6310497"
