Equipo,Jornada,Temporada,Cambios_defensa_partido,Cambio_jugador_lesion,Titulares_cambiados_jornada_anterior,Puntos_y,cut1_y,cut2_y
Real Sporting,Jornada 35,Temporada2017,1,0,5,"-0,4396059","0,0146353","0,7189085"
Sevilla,Jornada 35,Temporada2017,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Valencia,Jornada 35,Temporada2017,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Villarreal,Jornada 35,Temporada2017,0,0,7,"-0,1537529","-0,2712177","0,4330555"
Alavés,Jornada 36,Temporada2017,0,0,9,"-0,1976823","-0,2272883","0,4769849"
Athletic Bilbao,Jornada 36,Temporada2017,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Atlético Madrid,Jornada 36,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Barcelona,Jornada 36,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Celta de Vigo,Jornada 36,Temporada2017,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Deportivo,Jornada 36,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Eibar,Jornada 36,Temporada2017,1,1,3,"-0,6330027","0,2080321","0,9123053"
Espanyol,Jornada 36,Temporada2017,1,1,3,"-0,6330027","0,2080321","0,9123053"
Granada,Jornada 36,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Las Palmas,Jornada 36,Temporada2017,1,1,7,"-0,7208615","0,2958909","1,0001641"
Leganés,Jornada 36,Temporada2017,0,1,4,"-0,325185","-0,0997856","0,6044876"
Málaga,Jornada 36,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Osasuna,Jornada 36,Temporada2017,1,1,4,"-0,6549674","0,2299968","0,93427"
Real Betis,Jornada 36,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Real Madrid,Jornada 36,Temporada2017,0,0,7,"-0,1537529","-0,2712177","0,4330555"
Real Sociedad,Jornada 36,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Real Sporting,Jornada 36,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Sevilla,Jornada 36,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Valencia,Jornada 36,Temporada2017,1,0,5,"-0,4396059","0,0146353","0,7189085"
Villarreal,Jornada 36,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Alavés,Jornada 37,Temporada2017,0,0,6,"-0,1317882","-0,2931824","0,4110908"
Athletic Bilbao,Jornada 37,Temporada2017,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Atlético Madrid,Jornada 37,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Barcelona,Jornada 37,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Celta de Vigo,Jornada 37,Temporada2017,1,1,5,"-0,6769321","0,2519615","0,9562347"
Deportivo,Jornada 37,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Eibar,Jornada 37,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Espanyol,Jornada 37,Temporada2017,1,1,2,"-0,611038","0,1860674","0,8903406"
Granada,Jornada 37,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Las Palmas,Jornada 37,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Leganés,Jornada 37,Temporada2017,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Málaga,Jornada 37,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Osasuna,Jornada 37,Temporada2017,2,1,4,"-0,9847498","0,5597792","1,2640524"
Real Betis,Jornada 37,Temporada2017,1,0,5,"-0,4396059","0,0146353","0,7189085"
Real Madrid,Jornada 37,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Real Sociedad,Jornada 37,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Real Sporting,Jornada 37,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Sevilla,Jornada 37,Temporada2017,1,0,6,"-0,4615706","0,0366","0,7408732"
Valencia,Jornada 37,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Villarreal,Jornada 37,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Alavés,Jornada 38,Temporada2017,0,0,7,"-0,1537529","-0,2712177","0,4330555"
Athletic Bilbao,Jornada 38,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Atlético Madrid,Jornada 38,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Barcelona,Jornada 38,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Celta de Vigo,Jornada 38,Temporada2017,1,0,6,"-0,4615706","0,0366","0,7408732"
Deportivo,Jornada 38,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Eibar,Jornada 38,Temporada2017,1,1,4,"-0,6549674","0,2299968","0,93427"
Espanyol,Jornada 38,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Granada,Jornada 38,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Las Palmas,Jornada 38,Temporada2017,1,0,5,"-0,4396059","0,0146353","0,7189085"
Leganés,Jornada 38,Temporada2017,1,1,4,"-0,6549674","0,2299968","0,93427"
Málaga,Jornada 38,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Osasuna,Jornada 38,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Real Betis,Jornada 38,Temporada2017,1,1,3,"-0,6330027","0,2080321","0,9123053"
Real Madrid,Jornada 38,Temporada2017,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Real Sociedad,Jornada 38,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Real Sporting,Jornada 38,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Sevilla,Jornada 38,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Valencia,Jornada 38,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Villarreal,Jornada 38,Temporada2017,0,1,1,"-0,2592909","-0,1656797","0,5385935"
Alavés,Jornada 1,Temporada2018,1,0,0,"-0,3297824","-0,0951882","0,609085"
Athletic Bilbao,Jornada 1,Temporada2018,2,1,0,"-0,896891","0,4719204","1,1761936"
Atlético Madrid,Jornada 1,Temporada2018,1,0,0,"-0,3297824","-0,0951882","0,609085"
Barcelona,Jornada 1,Temporada2018,1,0,0,"-0,3297824","-0,0951882","0,609085"
Celta de Vigo,Jornada 1,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Deportivo,Jornada 1,Temporada2018,0,1,0,"-0,2373262","-0,1876444","0,5166288"
Eibar,Jornada 1,Temporada2018,1,0,0,"-0,3297824","-0,0951882","0,609085"
Espanyol,Jornada 1,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Getafe,Jornada 1,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Girona,Jornada 1,Temporada2018,1,1,0,"-0,5671086","0,142138","0,8464112"
Las Palmas,Jornada 1,Temporada2018,1,0,0,"-0,3297824","-0,0951882","0,609085"
Leganés,Jornada 1,Temporada2018,1,0,0,"-0,3297824","-0,0951882","0,609085"
Levante,Jornada 1,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Málaga,Jornada 1,Temporada2018,1,0,0,"-0,3297824","-0,0951882","0,609085"
Real Betis,Jornada 1,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Real Madrid,Jornada 1,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Real Sociedad,Jornada 1,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Sevilla,Jornada 1,Temporada2018,0,1,0,"-0,2373262","-0,1876444","0,5166288"
Valencia,Jornada 1,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Villarreal,Jornada 1,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Alavés,Jornada 2,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Athletic Bilbao,Jornada 2,Temporada2018,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Atlético Madrid,Jornada 2,Temporada2018,1,0,5,"-0,4396059","0,0146353","0,7189085"
Barcelona,Jornada 2,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Celta de Vigo,Jornada 2,Temporada2018,3,0,2,"-1,0332766","0,608306","1,3125792"
Deportivo,Jornada 2,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Eibar,Jornada 2,Temporada2018,1,0,0,"-0,3297824","-0,0951882","0,609085"
Espanyol,Jornada 2,Temporada2018,1,1,1,"-0,5890733","0,1641027","0,8683759"
Getafe,Jornada 2,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Girona,Jornada 2,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Las Palmas,Jornada 2,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Leganés,Jornada 2,Temporada2018,1,1,0,"-0,5671086","0,142138","0,8464112"
Levante,Jornada 2,Temporada2018,1,0,0,"-0,3297824","-0,0951882","0,609085"
Málaga,Jornada 2,Temporada2018,1,1,1,"-0,5890733","0,1641027","0,8683759"
Real Betis,Jornada 2,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Real Madrid,Jornada 2,Temporada2018,0,1,1,"-0,2592909","-0,1656797","0,5385935"
Real Sociedad,Jornada 2,Temporada2018,1,1,1,"-0,5890733","0,1641027","0,8683759"
Sevilla,Jornada 2,Temporada2018,1,1,7,"-0,7208615","0,2958909","1,0001641"
Valencia,Jornada 2,Temporada2018,2,1,4,"-0,9847498","0,5597792","1,2640524"
Villarreal,Jornada 2,Temporada2018,0,1,4,"-0,325185","-0,0997856","0,6044876"
Alavés,Jornada 3,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Athletic Bilbao,Jornada 3,Temporada2018,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Atlético Madrid,Jornada 3,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Barcelona,Jornada 3,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Celta de Vigo,Jornada 3,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Deportivo,Jornada 3,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Eibar,Jornada 3,Temporada2018,1,1,3,"-0,6330027","0,2080321","0,9123053"
Espanyol,Jornada 3,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Getafe,Jornada 3,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Girona,Jornada 3,Temporada2018,1,0,0,"-0,3297824","-0,0951882","0,609085"
Las Palmas,Jornada 3,Temporada2018,0,0,7,"-0,1537529","-0,2712177","0,4330555"
Leganés,Jornada 3,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Levante,Jornada 3,Temporada2018,1,1,2,"-0,611038","0,1860674","0,8903406"
Málaga,Jornada 3,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Real Betis,Jornada 3,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Real Madrid,Jornada 3,Temporada2018,0,1,5,"-0,3471497","-0,0778209","0,6264523"
Real Sociedad,Jornada 3,Temporada2018,0,1,2,"-0,2812556","-0,143715","0,5605582"
Sevilla,Jornada 3,Temporada2018,2,1,4,"-0,9847498","0,5597792","1,2640524"
Valencia,Jornada 3,Temporada2018,1,1,3,"-0,6330027","0,2080321","0,9123053"
Villarreal,Jornada 3,Temporada2018,0,1,3,"-0,3032203","-0,1217503","0,5825229"
Alavés,Jornada 4,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Athletic Bilbao,Jornada 4,Temporada2018,0,0,7,"-0,1537529","-0,2712177","0,4330555"
Atlético Madrid,Jornada 4,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Barcelona,Jornada 4,Temporada2018,0,1,2,"-0,2812556","-0,143715","0,5605582"
Celta de Vigo,Jornada 4,Temporada2018,1,0,0,"-0,3297824","-0,0951882","0,609085"
Deportivo,Jornada 4,Temporada2018,0,1,5,"-0,3471497","-0,0778209","0,6264523"
Eibar,Jornada 4,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Espanyol,Jornada 4,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Getafe,Jornada 4,Temporada2018,0,1,0,"-0,2373262","-0,1876444","0,5166288"
Girona,Jornada 4,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Las Palmas,Jornada 4,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Leganés,Jornada 4,Temporada2018,1,1,4,"-0,6549674","0,2299968","0,93427"
Levante,Jornada 4,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Málaga,Jornada 4,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Betis,Jornada 4,Temporada2018,0,1,2,"-0,2812556","-0,143715","0,5605582"
Real Madrid,Jornada 4,Temporada2018,1,1,7,"-0,7208615","0,2958909","1,0001641"
Real Sociedad,Jornada 4,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Sevilla,Jornada 4,Temporada2018,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Valencia,Jornada 4,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Villarreal,Jornada 4,Temporada2018,1,0,0,"-0,3297824","-0,0951882","0,609085"
Alavés,Jornada 5,Temporada2018,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Athletic Bilbao,Jornada 5,Temporada2018,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Atlético Madrid,Jornada 5,Temporada2018,1,1,3,"-0,6330027","0,2080321","0,9123053"
Barcelona,Jornada 5,Temporada2018,0,0,6,"-0,1317882","-0,2931824","0,4110908"
Celta de Vigo,Jornada 5,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Deportivo,Jornada 5,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Eibar,Jornada 5,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Espanyol,Jornada 5,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Getafe,Jornada 5,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Girona,Jornada 5,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Las Palmas,Jornada 5,Temporada2018,0,1,4,"-0,325185","-0,0997856","0,6044876"
Leganés,Jornada 5,Temporada2018,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Levante,Jornada 5,Temporada2018,0,1,2,"-0,2812556","-0,143715","0,5605582"
Málaga,Jornada 5,Temporada2018,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Real Betis,Jornada 5,Temporada2018,1,1,4,"-0,6549674","0,2299968","0,93427"
Real Madrid,Jornada 5,Temporada2018,1,1,3,"-0,6330027","0,2080321","0,9123053"
Real Sociedad,Jornada 5,Temporada2018,2,0,5,"-0,7693883","0,3444177","1,0486909"
Sevilla,Jornada 5,Temporada2018,0,0,8,"-0,1757176","-0,249253","0,4550202"
Valencia,Jornada 5,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Villarreal,Jornada 5,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Alavés,Jornada 6,Temporada2018,1,0,0,"-0,3297824","-0,0951882","0,609085"
Athletic Bilbao,Jornada 6,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Atlético Madrid,Jornada 6,Temporada2018,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Barcelona,Jornada 6,Temporada2018,0,0,6,"-0,1317882","-0,2931824","0,4110908"
Celta de Vigo,Jornada 6,Temporada2018,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Deportivo,Jornada 6,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Eibar,Jornada 6,Temporada2018,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Espanyol,Jornada 6,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Getafe,Jornada 6,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Girona,Jornada 6,Temporada2018,2,0,7,"-0,8133177","0,3883471","1,0926203"
Las Palmas,Jornada 6,Temporada2018,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Leganés,Jornada 6,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Levante,Jornada 6,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Málaga,Jornada 6,Temporada2018,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Real Betis,Jornada 6,Temporada2018,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Real Madrid,Jornada 6,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Real Sociedad,Jornada 6,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Sevilla,Jornada 6,Temporada2018,1,0,7,"-0,4835353","0,0585647","0,7628379"
Valencia,Jornada 6,Temporada2018,1,1,5,"-0,6769321","0,2519615","0,9562347"
Villarreal,Jornada 6,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Alavés,Jornada 7,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Athletic Bilbao,Jornada 7,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Atlético Madrid,Jornada 7,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Barcelona,Jornada 7,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Celta de Vigo,Jornada 7,Temporada2018,2,1,2,"-0,9408204","0,5158498","1,220123"
Deportivo,Jornada 7,Temporada2018,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Eibar,Jornada 7,Temporada2018,1,0,5,"-0,4396059","0,0146353","0,7189085"
Espanyol,Jornada 7,Temporada2018,1,1,3,"-0,6330027","0,2080321","0,9123053"
Getafe,Jornada 7,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Girona,Jornada 7,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Las Palmas,Jornada 7,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Leganés,Jornada 7,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Levante,Jornada 7,Temporada2018,2,1,1,"-0,9188557","0,4938851","1,1981583"
Málaga,Jornada 7,Temporada2018,1,1,3,"-0,6330027","0,2080321","0,9123053"
Real Betis,Jornada 7,Temporada2018,0,1,2,"-0,2812556","-0,143715","0,5605582"
Real Madrid,Jornada 7,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Real Sociedad,Jornada 7,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Sevilla,Jornada 7,Temporada2018,0,0,6,"-0,1317882","-0,2931824","0,4110908"
Valencia,Jornada 7,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Villarreal,Jornada 7,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Alavés,Jornada 8,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Athletic Bilbao,Jornada 8,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Atlético Madrid,Jornada 8,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Barcelona,Jornada 8,Temporada2018,1,0,5,"-0,4396059","0,0146353","0,7189085"
Celta de Vigo,Jornada 8,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Deportivo,Jornada 8,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Eibar,Jornada 8,Temporada2018,2,1,3,"-0,9627851","0,5378145","1,2420877"
Espanyol,Jornada 8,Temporada2018,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Getafe,Jornada 8,Temporada2018,0,1,1,"-0,2592909","-0,1656797","0,5385935"
Girona,Jornada 8,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Las Palmas,Jornada 8,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Leganés,Jornada 8,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Levante,Jornada 8,Temporada2018,1,0,5,"-0,4396059","0,0146353","0,7189085"
Málaga,Jornada 8,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Real Betis,Jornada 8,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Madrid,Jornada 8,Temporada2018,1,0,5,"-0,4396059","0,0146353","0,7189085"
Real Sociedad,Jornada 8,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Sevilla,Jornada 8,Temporada2018,1,1,5,"-0,6769321","0,2519615","0,9562347"
Valencia,Jornada 8,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Villarreal,Jornada 8,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Alavés,Jornada 9,Temporada2018,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Athletic Bilbao,Jornada 9,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Atlético Madrid,Jornada 9,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Barcelona,Jornada 9,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Celta de Vigo,Jornada 9,Temporada2018,2,0,3,"-0,7254589","0,3004883","1,0047615"
Deportivo,Jornada 9,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Eibar,Jornada 9,Temporada2018,1,0,5,"-0,4396059","0,0146353","0,7189085"
Espanyol,Jornada 9,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Getafe,Jornada 9,Temporada2018,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Girona,Jornada 9,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Las Palmas,Jornada 9,Temporada2018,1,0,5,"-0,4396059","0,0146353","0,7189085"
Leganés,Jornada 9,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Levante,Jornada 9,Temporada2018,1,1,1,"-0,5890733","0,1641027","0,8683759"
Málaga,Jornada 9,Temporada2018,0,1,4,"-0,325185","-0,0997856","0,6044876"
Real Betis,Jornada 9,Temporada2018,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Real Madrid,Jornada 9,Temporada2018,0,0,6,"-0,1317882","-0,2931824","0,4110908"
Real Sociedad,Jornada 9,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Sevilla,Jornada 9,Temporada2018,1,1,5,"-0,6769321","0,2519615","0,9562347"
Valencia,Jornada 9,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Villarreal,Jornada 9,Temporada2018,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Alavés,Jornada 10,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Athletic Bilbao,Jornada 10,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Atlético Madrid,Jornada 10,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Barcelona,Jornada 10,Temporada2018,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Celta de Vigo,Jornada 10,Temporada2018,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Deportivo,Jornada 10,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Eibar,Jornada 10,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Espanyol,Jornada 10,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Getafe,Jornada 10,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Girona,Jornada 10,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Las Palmas,Jornada 10,Temporada2018,0,1,3,"-0,3032203","-0,1217503","0,5825229"
Leganés,Jornada 10,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Levante,Jornada 10,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Málaga,Jornada 10,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Real Betis,Jornada 10,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Madrid,Jornada 10,Temporada2018,3,1,4,"-1,3145322","0,8895616","1,5938348"
Real Sociedad,Jornada 10,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Sevilla,Jornada 10,Temporada2018,1,1,7,"-0,7208615","0,2958909","1,0001641"
Valencia,Jornada 10,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Villarreal,Jornada 10,Temporada2018,1,1,1,"-0,5890733","0,1641027","0,8683759"
Alavés,Jornada 11,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Athletic Bilbao,Jornada 11,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Atlético Madrid,Jornada 11,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Barcelona,Jornada 11,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Celta de Vigo,Jornada 11,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Deportivo,Jornada 11,Temporada2018,1,1,0,"-0,5671086","0,142138","0,8464112"
Eibar,Jornada 11,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Espanyol,Jornada 11,Temporada2018,0,1,0,"-0,2373262","-0,1876444","0,5166288"
Getafe,Jornada 11,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Girona,Jornada 11,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Las Palmas,Jornada 11,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Leganés,Jornada 11,Temporada2018,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Levante,Jornada 11,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Málaga,Jornada 11,Temporada2018,0,0,0,0,"-0,4249706","0,2793026"
Real Betis,Jornada 11,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Real Madrid,Jornada 11,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Real Sociedad,Jornada 11,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Sevilla,Jornada 11,Temporada2018,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Valencia,Jornada 11,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Villarreal,Jornada 11,Temporada2018,0,0,2,"-0,0439294","-0,3810412","0,323232"
Alavés,Jornada 12,Temporada2018,2,0,2,"-0,7034942","0,2785236","0,9827968"
Athletic Bilbao,Jornada 12,Temporada2018,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Atlético Madrid,Jornada 12,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Barcelona,Jornada 12,Temporada2018,1,1,0,"-0,5671086","0,142138","0,8464112"
Celta de Vigo,Jornada 12,Temporada2018,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Deportivo,Jornada 12,Temporada2018,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Eibar,Jornada 12,Temporada2018,0,0,6,"-0,1317882","-0,2931824","0,4110908"
Espanyol,Jornada 12,Temporada2018,0,1,2,"-0,2812556","-0,143715","0,5605582"
Getafe,Jornada 12,Temporada2018,0,0,1,"-0,0219647","-0,4030059","0,3012673"
