Equipo,Jornada,Temporada,Cambios_defensa_partido,Cambio_lesion_partido,Titulares_cambio_jornadapasada,y_lambda,exp_lambda
Málaga,Jornada 38,Temporada2018,0,0,2,"0,280908","1,3"
Osasuna,Jornada 1,Temporada2017,1,0,0,"0,230994","1,3"
Osasuna,Jornada 2,Temporada2017,1,1,3,"0,286734","1,3"
Osasuna,Jornada 3,Temporada2017,0,0,5,"0,229623","1,3"
Osasuna,Jornada 4,Temporada2017,0,0,6,"0,212528","1,2"
Osasuna,Jornada 5,Temporada2017,1,0,6,"0,128424","1,1"
Osasuna,Jornada 6,Temporada2017,1,1,4,"0,269639","1,3"
Osasuna,Jornada 7,Temporada2017,1,0,5,"0,145519","1,2"
Osasuna,Jornada 8,Temporada2017,0,0,2,"0,280908","1,3"
Osasuna,Jornada 9,Temporada2017,0,0,0,"0,315098","1,4"
Osasuna,Jornada 10,Temporada2017,0,1,0,"0,422124","1,5"
Osasuna,Jornada 11,Temporada2017,0,0,2,"0,280908","1,3"
Osasuna,Jornada 12,Temporada2017,0,0,2,"0,280908","1,3"
Osasuna,Jornada 13,Temporada2017,1,0,5,"0,145519","1,2"
Osasuna,Jornada 14,Temporada2017,0,0,3,"0,263813","1,3"
Osasuna,Jornada 15,Temporada2017,1,1,2,"0,303829","1,4"
Osasuna,Jornada 16,Temporada2017,0,0,3,"0,263813","1,3"
Osasuna,Jornada 17,Temporada2017,0,0,5,"0,229623","1,3"
Osasuna,Jornada 18,Temporada2017,0,0,2,"0,280908","1,3"
Osasuna,Jornada 19,Temporada2017,0,0,1,"0,298003","1,3"
Osasuna,Jornada 20,Temporada2017,0,0,2,"0,280908","1,3"
Osasuna,Jornada 21,Temporada2017,0,0,6,"0,212528","1,2"
Osasuna,Jornada 22,Temporada2017,2,1,4,"0,185535","1,2"
Osasuna,Jornada 23,Temporada2017,0,0,5,"0,229623","1,3"
Osasuna,Jornada 24,Temporada2017,1,1,4,"0,269639","1,3"
Osasuna,Jornada 25,Temporada2017,1,0,6,"0,128424","1,1"
Osasuna,Jornada 26,Temporada2017,0,1,8,"0,285364","1,3"
Osasuna,Jornada 27,Temporada2017,0,0,11,"0,127053","1,1"
Osasuna,Jornada 28,Temporada2017,0,0,0,"0,315098","1,4"
Osasuna,Jornada 29,Temporada2017,1,0,6,"0,128424","1,1"
Osasuna,Jornada 30,Temporada2017,0,1,5,"0,336649","1,4"
Osasuna,Jornada 31,Temporada2017,0,0,3,"0,263813","1,3"
Osasuna,Jornada 32,Temporada2017,1,0,3,"0,179709","1,2"
Osasuna,Jornada 33,Temporada2017,1,1,3,"0,286734","1,3"
Osasuna,Jornada 34,Temporada2017,0,0,4,"0,246718","1,3"
Osasuna,Jornada 35,Temporada2017,2,0,3,"0,095604","1,1"
Osasuna,Jornada 36,Temporada2017,1,1,4,"0,269639","1,3"
Osasuna,Jornada 37,Temporada2017,2,1,4,"0,185535","1,2"
Osasuna,Jornada 38,Temporada2017,1,0,2,"0,196804","1,2"
Osasuna,Jornada 1,Temporada2020,0,0,0,"0,315098","1,4"
Osasuna,Jornada 2,Temporada2020,0,0,1,"0,298003","1,3"
Osasuna,Jornada 3,Temporada2020,0,0,4,"0,246718","1,3"
Osasuna,Jornada 4,Temporada2020,0,0,0,"0,315098","1,4"
Osasuna,Jornada 5,Temporada2020,0,0,1,"0,298003","1,3"
Osasuna,Jornada 6,Temporada2020,0,0,7,"0,195433","1,2"
Osasuna,Jornada 7,Temporada2020,0,0,7,"0,195433","1,2"
Osasuna,Jornada 8,Temporada2020,0,0,1,"0,298003","1,3"
Osasuna,Jornada 9,Temporada2020,0,0,3,"0,263813","1,3"
Osasuna,Jornada 10,Temporada2020,0,0,3,"0,263813","1,3"
Osasuna,Jornada 11,Temporada2020,0,0,5,"0,229623","1,3"
Osasuna,Jornada 12,Temporada2020,0,0,5,"0,229623","1,3"
Osasuna,Jornada 13,Temporada2020,1,1,3,"0,286734","1,3"
Osasuna,Jornada 14,Temporada2020,0,0,5,"0,229623","1,3"
Osasuna,Jornada 15,Temporada2020,1,0,4,"0,162614","1,2"
Osasuna,Jornada 16,Temporada2020,0,1,3,"0,370839","1,4"
Osasuna,Jornada 17,Temporada2020,0,0,3,"0,263813","1,3"
Osasuna,Jornada 18,Temporada2020,1,0,2,"0,196804","1,2"
Osasuna,Jornada 19,Temporada2020,0,0,1,"0,298003","1,3"
Osasuna,Jornada 20,Temporada2020,0,1,2,"0,387934","1,5"
Osasuna,Jornada 21,Temporada2020,0,1,2,"0,387934","1,5"
Osasuna,Jornada 22,Temporada2020,0,0,3,"0,263813","1,3"
Osasuna,Jornada 23,Temporada2020,0,1,3,"0,370839","1,4"
Osasuna,Jornada 24,Temporada2020,1,0,5,"0,145519","1,2"
Osasuna,Jornada 25,Temporada2020,0,0,3,"0,263813","1,3"
Osasuna,Jornada 26,Temporada2020,1,0,4,"0,162614","1,2"
Osasuna,Jornada 27,Temporada2020,0,0,3,"0,263813","1,3"
Rayo Vallecano,Jornada 1,Temporada2019,0,0,0,"0,315098","1,4"
Rayo Vallecano,Jornada 2,Temporada2019,0,0,4,"0,246718","1,3"
Rayo Vallecano,Jornada 3,Temporada2019,0,0,4,"0,246718","1,3"
Rayo Vallecano,Jornada 4,Temporada2019,0,0,4,"0,246718","1,3"
Rayo Vallecano,Jornada 5,Temporada2019,0,1,0,"0,422124","1,5"
Rayo Vallecano,Jornada 6,Temporada2019,0,1,4,"0,353744","1,4"
Rayo Vallecano,Jornada 7,Temporada2019,0,0,2,"0,280908","1,3"
Rayo Vallecano,Jornada 8,Temporada2019,0,0,1,"0,298003","1,3"
Rayo Vallecano,Jornada 9,Temporada2019,0,0,5,"0,229623","1,3"
Rayo Vallecano,Jornada 10,Temporada2019,0,0,2,"0,280908","1,3"
Rayo Vallecano,Jornada 11,Temporada2019,0,1,1,"0,405029","1,5"
Rayo Vallecano,Jornada 12,Temporada2019,0,0,2,"0,280908","1,3"
Rayo Vallecano,Jornada 13,Temporada2019,0,0,1,"0,298003","1,3"
Rayo Vallecano,Jornada 14,Temporada2019,0,1,2,"0,387934","1,5"
Rayo Vallecano,Jornada 15,Temporada2019,0,0,2,"0,280908","1,3"
Rayo Vallecano,Jornada 16,Temporada2019,0,0,3,"0,263813","1,3"
Rayo Vallecano,Jornada 17,Temporada2019,0,1,3,"0,370839","1,4"
Rayo Vallecano,Jornada 18,Temporada2019,0,0,2,"0,280908","1,3"
Rayo Vallecano,Jornada 19,Temporada2019,0,0,1,"0,298003","1,3"
Rayo Vallecano,Jornada 20,Temporada2019,0,0,0,"0,315098","1,4"
Rayo Vallecano,Jornada 21,Temporada2019,0,0,0,"0,315098","1,4"
Rayo Vallecano,Jornada 22,Temporada2019,1,0,1,"0,213899","1,2"
Rayo Vallecano,Jornada 23,Temporada2019,0,1,2,"0,387934","1,5"
Rayo Vallecano,Jornada 24,Temporada2019,0,0,4,"0,246718","1,3"
Rayo Vallecano,Jornada 25,Temporada2019,1,0,2,"0,196804","1,2"
Rayo Vallecano,Jornada 26,Temporada2019,0,0,3,"0,263813","1,3"
Rayo Vallecano,Jornada 27,Temporada2019,1,0,4,"0,162614","1,2"
Rayo Vallecano,Jornada 28,Temporada2019,2,0,1,"0,129794","1,1"
Rayo Vallecano,Jornada 29,Temporada2019,0,0,4,"0,246718","1,3"
Rayo Vallecano,Jornada 30,Temporada2019,1,0,0,"0,230994","1,3"
Rayo Vallecano,Jornada 31,Temporada2019,1,0,4,"0,162614","1,2"
Rayo Vallecano,Jornada 32,Temporada2019,1,0,2,"0,196804","1,2"
Rayo Vallecano,Jornada 33,Temporada2019,0,0,2,"0,280908","1,3"
Rayo Vallecano,Jornada 34,Temporada2019,1,0,5,"0,145519","1,2"
Rayo Vallecano,Jornada 35,Temporada2019,0,0,4,"0,246718","1,3"
Rayo Vallecano,Jornada 36,Temporada2019,1,0,1,"0,213899","1,2"
Rayo Vallecano,Jornada 37,Temporada2019,3,1,4,"0,10143","1,1"
Rayo Vallecano,Jornada 38,Temporada2019,0,0,4,"0,246718","1,3"
Real Betis,Jornada 1,Temporada2017,0,0,0,"0,315098","1,4"
Real Betis,Jornada 2,Temporada2017,1,0,3,"0,179709","1,2"
Real Betis,Jornada 3,Temporada2017,0,1,2,"0,387934","1,5"
Real Betis,Jornada 4,Temporada2017,0,0,0,"0,315098","1,4"
Real Betis,Jornada 5,Temporada2017,1,0,2,"0,196804","1,2"
Real Betis,Jornada 6,Temporada2017,1,1,2,"0,303829","1,4"
Real Betis,Jornada 7,Temporada2017,0,0,2,"0,280908","1,3"
Real Betis,Jornada 8,Temporada2017,0,0,4,"0,246718","1,3"
Real Betis,Jornada 9,Temporada2017,0,0,4,"0,246718","1,3"
Real Betis,Jornada 10,Temporada2017,1,0,2,"0,196804","1,2"
Real Betis,Jornada 11,Temporada2017,0,0,2,"0,280908","1,3"
Real Betis,Jornada 12,Temporada2017,0,0,4,"0,246718","1,3"
Real Betis,Jornada 13,Temporada2017,1,0,0,"0,230994","1,3"
Real Betis,Jornada 14,Temporada2017,2,0,4,"0,078509","1,1"
Real Betis,Jornada 15,Temporada2017,2,1,3,"0,20263","1,2"
Real Betis,Jornada 16,Temporada2017,1,1,1,"0,320924","1,4"
Real Betis,Jornada 17,Temporada2017,1,1,4,"0,269639","1,3"
Real Betis,Jornada 18,Temporada2017,1,0,4,"0,162614","1,2"
Real Betis,Jornada 19,Temporada2017,0,1,2,"0,387934","1,5"
Real Betis,Jornada 20,Temporada2017,0,0,5,"0,229623","1,3"
Real Betis,Jornada 21,Temporada2017,1,0,3,"0,179709","1,2"
Real Betis,Jornada 22,Temporada2017,0,0,3,"0,263813","1,3"
Real Betis,Jornada 23,Temporada2017,2,0,2,"0,112699","1,1"
Real Betis,Jornada 24,Temporada2017,1,0,3,"0,179709","1,2"
Real Betis,Jornada 25,Temporada2017,1,0,6,"0,128424","1,1"
Real Betis,Jornada 26,Temporada2017,0,1,5,"0,336649","1,4"
Real Betis,Jornada 27,Temporada2017,1,1,3,"0,286734","1,3"
Real Betis,Jornada 28,Temporada2017,0,0,1,"0,298003","1,3"
Real Betis,Jornada 29,Temporada2017,1,0,1,"0,213899","1,2"
Real Betis,Jornada 30,Temporada2017,2,0,1,"0,129794","1,1"
Real Betis,Jornada 31,Temporada2017,0,0,5,"0,229623","1,3"
Real Betis,Jornada 32,Temporada2017,0,0,5,"0,229623","1,3"
Real Betis,Jornada 33,Temporada2017,0,0,2,"0,280908","1,3"
Real Betis,Jornada 34,Temporada2017,1,0,7,"0,111329","1,1"
Real Betis,Jornada 35,Temporada2017,1,0,6,"0,128424","1,1"
Real Betis,Jornada 36,Temporada2017,1,0,3,"0,179709","1,2"
Real Betis,Jornada 37,Temporada2017,1,0,5,"0,145519","1,2"
Real Betis,Jornada 38,Temporada2017,1,1,3,"0,286734","1,3"
Real Betis,Jornada 1,Temporada2018,0,0,0,"0,315098","1,4"
Real Betis,Jornada 2,Temporada2018,1,0,3,"0,179709","1,2"
Real Betis,Jornada 3,Temporada2018,0,0,3,"0,263813","1,3"
Real Betis,Jornada 4,Temporada2018,0,1,2,"0,387934","1,5"
Real Betis,Jornada 5,Temporada2018,1,1,4,"0,269639","1,3"
Real Betis,Jornada 6,Temporada2018,1,0,4,"0,162614","1,2"
Real Betis,Jornada 7,Temporada2018,0,1,2,"0,387934","1,5"
Real Betis,Jornada 8,Temporada2018,0,0,2,"0,280908","1,3"
Real Betis,Jornada 9,Temporada2018,0,0,5,"0,229623","1,3"
Real Betis,Jornada 10,Temporada2018,0,0,2,"0,280908","1,3"
Real Betis,Jornada 11,Temporada2018,1,0,3,"0,179709","1,2"
Real Betis,Jornada 12,Temporada2018,0,0,3,"0,263813","1,3"
Real Betis,Jornada 13,Temporada2018,1,0,4,"0,162614","1,2"
Real Betis,Jornada 14,Temporada2018,1,0,3,"0,179709","1,2"
Real Betis,Jornada 15,Temporada2018,1,1,3,"0,286734","1,3"
Real Betis,Jornada 16,Temporada2018,1,1,2,"0,303829","1,4"
Real Betis,Jornada 17,Temporada2018,1,0,0,"0,230994","1,3"
Real Betis,Jornada 18,Temporada2018,1,1,3,"0,286734","1,3"
Real Betis,Jornada 19,Temporada2018,1,1,3,"0,286734","1,3"
Real Betis,Jornada 20,Temporada2018,0,0,2,"0,280908","1,3"
Real Betis,Jornada 21,Temporada2018,0,0,1,"0,298003","1,3"
Real Betis,Jornada 22,Temporada2018,2,1,4,"0,185535","1,2"
Real Betis,Jornada 23,Temporada2018,0,0,4,"0,246718","1,3"
Real Betis,Jornada 24,Temporada2018,1,0,1,"0,213899","1,2"
Real Betis,Jornada 25,Temporada2018,0,0,3,"0,263813","1,3"
Real Betis,Jornada 26,Temporada2018,0,0,2,"0,280908","1,3"
Real Betis,Jornada 27,Temporada2018,2,0,5,"0,061414","1,1"
Real Betis,Jornada 28,Temporada2018,0,0,3,"0,263813","1,3"
Real Betis,Jornada 29,Temporada2018,0,0,2,"0,280908","1,3"
Real Betis,Jornada 30,Temporada2018,0,0,1,"0,298003","1,3"
Real Betis,Jornada 31,Temporada2018,0,0,3,"0,263813","1,3"
Real Betis,Jornada 32,Temporada2018,0,0,3,"0,263813","1,3"
Real Betis,Jornada 33,Temporada2018,0,0,2,"0,280908","1,3"
Real Betis,Jornada 34,Temporada2018,0,1,3,"0,370839","1,4"
Real Betis,Jornada 35,Temporada2018,1,1,4,"0,269639","1,3"
Real Betis,Jornada 36,Temporada2018,1,1,3,"0,286734","1,3"
Real Betis,Jornada 37,Temporada2018,0,0,4,"0,246718","1,3"
Real Betis,Jornada 38,Temporada2018,1,1,5,"0,252544","1,3"
Real Betis,Jornada 1,Temporada2019,1,0,0,"0,230994","1,3"
Real Betis,Jornada 2,Temporada2019,1,0,1,"0,213899","1,2"
Real Betis,Jornada 3,Temporada2019,1,1,1,"0,320924","1,4"
Real Betis,Jornada 4,Temporada2019,0,0,4,"0,246718","1,3"
Real Betis,Jornada 5,Temporada2019,2,0,2,"0,112699","1,1"
Real Betis,Jornada 6,Temporada2019,0,0,3,"0,263813","1,3"
Real Betis,Jornada 7,Temporada2019,1,0,7,"0,111329","1,1"
Real Betis,Jornada 8,Temporada2019,1,1,6,"0,235449","1,3"
Real Betis,Jornada 9,Temporada2019,0,1,4,"0,353744","1,4"
Real Betis,Jornada 10,Temporada2019,1,0,5,"0,145519","1,2"
Real Betis,Jornada 11,Temporada2019,2,0,4,"0,078509","1,1"
Real Betis,Jornada 12,Temporada2019,0,0,2,"0,280908","1,3"
Real Betis,Jornada 13,Temporada2019,1,0,3,"0,179709","1,2"
Real Betis,Jornada 14,Temporada2019,0,1,2,"0,387934","1,5"
Real Betis,Jornada 15,Temporada2019,0,0,3,"0,263813","1,3"
Real Betis,Jornada 16,Temporada2019,1,1,2,"0,303829","1,4"
Real Betis,Jornada 17,Temporada2019,2,1,2,"0,219725","1,2"
Real Betis,Jornada 18,Temporada2019,2,0,3,"0,095604","1,1"
Real Betis,Jornada 19,Temporada2019,1,0,4,"0,162614","1,2"
Real Betis,Jornada 20,Temporada2019,0,0,3,"0,263813","1,3"
Real Betis,Jornada 21,Temporada2019,1,0,5,"0,145519","1,2"
Real Betis,Jornada 22,Temporada2019,2,1,5,"0,16844","1,2"
Real Betis,Jornada 23,Temporada2019,1,0,5,"0,145519","1,2"
Real Betis,Jornada 24,Temporada2019,1,0,5,"0,145519","1,2"
Real Betis,Jornada 25,Temporada2019,1,1,4,"0,269639","1,3"
Real Betis,Jornada 26,Temporada2019,1,0,4,"0,162614","1,2"
Real Betis,Jornada 27,Temporada2019,1,1,4,"0,269639","1,3"
Real Betis,Jornada 28,Temporada2019,0,0,1,"0,298003","1,3"
Real Betis,Jornada 29,Temporada2019,0,0,1,"0,298003","1,3"
Real Betis,Jornada 30,Temporada2019,0,0,4,"0,246718","1,3"
Real Betis,Jornada 31,Temporada2019,0,1,3,"0,370839","1,4"
Real Betis,Jornada 32,Temporada2019,2,0,2,"0,112699","1,1"
Real Betis,Jornada 33,Temporada2019,1,0,4,"0,162614","1,2"
Real Betis,Jornada 34,Temporada2019,1,0,5,"0,145519","1,2"
Real Betis,Jornada 35,Temporada2019,1,0,5,"0,145519","1,2"
Real Betis,Jornada 36,Temporada2019,1,0,3,"0,179709","1,2"
Real Betis,Jornada 37,Temporada2019,1,0,0,"0,230994","1,3"
Real Betis,Jornada 38,Temporada2019,0,0,3,"0,263813","1,3"
Real Betis,Jornada 1,Temporada2020,0,0,0,"0,315098","1,4"
Real Betis,Jornada 2,Temporada2020,0,0,4,"0,246718","1,3"
Real Betis,Jornada 3,Temporada2020,1,0,3,"0,179709","1,2"
Real Betis,Jornada 4,Temporada2020,1,1,3,"0,286734","1,3"
Real Betis,Jornada 5,Temporada2020,0,1,5,"0,336649","1,4"
Real Betis,Jornada 6,Temporada2020,0,0,5,"0,229623","1,3"
Real Betis,Jornada 7,Temporada2020,1,0,3,"0,179709","1,2"
Real Betis,Jornada 8,Temporada2020,1,0,2,"0,196804","1,2"
Real Betis,Jornada 9,Temporada2020,1,1,3,"0,286734","1,3"
Real Betis,Jornada 10,Temporada2020,2,0,5,"0,061414","1,1"
Real Betis,Jornada 11,Temporada2020,1,0,5,"0,145519","1,2"
Real Betis,Jornada 12,Temporada2020,1,0,3,"0,179709","1,2"
Real Betis,Jornada 13,Temporada2020,2,0,0,"0,146889","1,2"
Real Betis,Jornada 14,Temporada2020,2,1,2,"0,219725","1,2"
Real Betis,Jornada 15,Temporada2020,0,0,3,"0,263813","1,3"
Real Betis,Jornada 16,Temporada2020,1,0,3,"0,179709","1,2"
Real Betis,Jornada 17,Temporada2020,1,0,4,"0,162614","1,2"
Real Betis,Jornada 18,Temporada2020,1,0,2,"0,196804","1,2"
Real Betis,Jornada 19,Temporada2020,0,0,1,"0,298003","1,3"
Real Betis,Jornada 20,Temporada2020,0,0,2,"0,280908","1,3"
Real Betis,Jornada 21,Temporada2020,0,1,3,"0,370839","1,4"
Real Betis,Jornada 22,Temporada2020,1,0,3,"0,179709","1,2"
Real Betis,Jornada 23,Temporada2020,0,0,2,"0,280908","1,3"
Real Betis,Jornada 24,Temporada2020,1,0,1,"0,213899","1,2"
Real Betis,Jornada 25,Temporada2020,0,0,3,"0,263813","1,3"
Real Betis,Jornada 26,Temporada2020,1,0,3,"0,179709","1,2"
Real Betis,Jornada 27,Temporada2020,2,0,2,"0,112699","1,1"
Real Madrid,Jornada 1,Temporada2017,0,0,0,"0,315098","1,4"
Real Madrid,Jornada 2,Temporada2017,0,0,1,"0,298003","1,3"
Real Madrid,Jornada 3,Temporada2017,0,0,5,"0,229623","1,3"
Real Madrid,Jornada 4,Temporada2017,0,1,7,"0,302459","1,4"
Real Madrid,Jornada 5,Temporada2017,1,1,6,"0,235449","1,3"
Real Madrid,Jornada 6,Temporada2017,0,0,5,"0,229623","1,3"
Real Madrid,Jornada 7,Temporada2017,1,0,6,"0,128424","1,1"
Real Madrid,Jornada 8,Temporada2017,0,0,1,"0,298003","1,3"
Real Madrid,Jornada 9,Temporada2017,0,0,0,"0,315098","1,4"
Real Madrid,Jornada 10,Temporada2017,1,1,1,"0,320924","1,4"
Real Madrid,Jornada 11,Temporada2017,0,0,3,"0,263813","1,3"
Real Madrid,Jornada 12,Temporada2017,0,0,2,"0,280908","1,3"
Real Madrid,Jornada 13,Temporada2017,1,0,5,"0,145519","1,2"
Real Madrid,Jornada 14,Temporada2017,0,0,4,"0,246718","1,3"
Real Madrid,Jornada 15,Temporada2017,1,0,8,"0,094234","1,1"
Real Madrid,Jornada 16,Temporada2017,1,0,6,"0,128424","1,1"
Real Madrid,Jornada 17,Temporada2017,1,1,2,"0,303829","1,4"
Real Madrid,Jornada 18,Temporada2017,0,0,1,"0,298003","1,3"
Real Madrid,Jornada 19,Temporada2017,1,1,1,"0,320924","1,4"
Real Madrid,Jornada 20,Temporada2017,0,0,2,"0,280908","1,3"
Real Madrid,Jornada 21,Temporada2017,0,0,3,"0,263813","1,3"
Real Madrid,Jornada 22,Temporada2017,1,1,1,"0,320924","1,4"
Real Madrid,Jornada 23,Temporada2017,1,0,7,"0,111329","1,1"
Real Madrid,Jornada 24,Temporada2017,0,1,7,"0,302459","1,4"
Real Madrid,Jornada 25,Temporada2017,0,0,4,"0,246718","1,3"
Real Madrid,Jornada 26,Temporada2017,0,0,8,"0,178338","1,2"
Real Madrid,Jornada 27,Temporada2017,0,0,6,"0,212528","1,2"
Real Madrid,Jornada 28,Temporada2017,0,0,3,"0,263813","1,3"
Real Madrid,Jornada 29,Temporada2017,1,1,5,"0,252544","1,3"
Real Madrid,Jornada 30,Temporada2017,0,0,9,"0,161243","1,2"
Real Madrid,Jornada 31,Temporada2017,1,1,7,"0,218354","1,2"
Real Madrid,Jornada 32,Temporada2017,1,0,10,"0,060044","1,1"
Real Madrid,Jornada 33,Temporada2017,0,1,9,"0,268269","1,3"
Real Madrid,Jornada 34,Temporada2017,1,0,9,"0,077139","1,1"
Real Madrid,Jornada 35,Temporada2017,0,0,8,"0,178338","1,2"
Real Madrid,Jornada 36,Temporada2017,0,0,7,"0,195433","1,2"
Real Madrid,Jornada 37,Temporada2017,0,0,4,"0,246718","1,3"
Real Madrid,Jornada 38,Temporada2017,0,0,5,"0,229623","1,3"
Real Madrid,Jornada 1,Temporada2018,0,0,0,"0,315098","1,4"
Real Madrid,Jornada 2,Temporada2018,0,1,1,"0,405029","1,5"
Real Madrid,Jornada 3,Temporada2018,0,1,5,"0,336649","1,4"
Real Madrid,Jornada 4,Temporada2018,1,1,7,"0,218354","1,2"
Real Madrid,Jornada 5,Temporada2018,1,1,3,"0,286734","1,3"
Real Madrid,Jornada 6,Temporada2018,0,0,4,"0,246718","1,3"
Real Madrid,Jornada 7,Temporada2018,0,0,3,"0,263813","1,3"
Real Madrid,Jornada 8,Temporada2018,1,0,5,"0,145519","1,2"
Real Madrid,Jornada 9,Temporada2018,0,0,6,"0,212528","1,2"
Real Madrid,Jornada 10,Temporada2018,3,1,4,"0,10143","1,1"
Real Madrid,Jornada 11,Temporada2018,0,0,3,"0,263813","1,3"
Real Madrid,Jornada 12,Temporada2018,1,1,3,"0,286734","1,3"
Real Madrid,Jornada 13,Temporada2018,0,0,2,"0,280908","1,3"
Real Madrid,Jornada 14,Temporada2018,0,0,3,"0,263813","1,3"
Real Madrid,Jornada 15,Temporada2018,0,0,5,"0,229623","1,3"
Real Madrid,Jornada 16,Temporada2018,0,0,8,"0,178338","1,2"
Real Madrid,Jornada 17,Temporada2018,0,0,5,"0,229623","1,3"
Real Madrid,Jornada 18,Temporada2018,0,0,4,"0,246718","1,3"
Real Madrid,Jornada 19,Temporada2018,0,0,1,"0,298003","1,3"
Real Madrid,Jornada 20,Temporada2018,0,0,1,"0,298003","1,3"
Real Madrid,Jornada 21,Temporada2018,0,0,1,"0,298003","1,3"
Real Madrid,Jornada 22,Temporada2018,0,0,1,"0,298003","1,3"
Real Madrid,Jornada 23,Temporada2018,0,0,2,"0,280908","1,3"
Real Madrid,Jornada 24,Temporada2018,1,1,4,"0,269639","1,3"
Real Madrid,Jornada 25,Temporada2018,0,0,3,"0,263813","1,3"
Real Madrid,Jornada 26,Temporada2018,0,0,5,"0,229623","1,3"
Real Madrid,Jornada 27,Temporada2018,1,0,5,"0,145519","1,2"
Real Madrid,Jornada 28,Temporada2018,1,1,4,"0,269639","1,3"
Real Madrid,Jornada 29,Temporada2018,0,0,5,"0,229623","1,3"
Real Madrid,Jornada 30,Temporada2018,1,1,5,"0,252544","1,3"
Real Madrid,Jornada 31,Temporada2018,0,0,6,"0,212528","1,2"
Real Madrid,Jornada 32,Temporada2018,0,0,5,"0,229623","1,3"
Real Madrid,Jornada 33,Temporada2018,0,0,5,"0,229623","1,3"
Real Madrid,Jornada 34,Temporada2018,0,0,7,"0,195433","1,2"
Real Madrid,Jornada 35,Temporada2018,0,0,4,"0,246718","1,3"
Real Madrid,Jornada 36,Temporada2018,1,1,8,"0,201259","1,2"
Real Madrid,Jornada 37,Temporada2018,0,0,2,"0,280908","1,3"
Real Madrid,Jornada 38,Temporada2018,0,0,4,"0,246718","1,3"
Real Madrid,Jornada 1,Temporada2019,0,0,0,"0,315098","1,4"
Real Madrid,Jornada 2,Temporada2019,1,0,1,"0,213899","1,2"
Real Madrid,Jornada 3,Temporada2019,0,0,3,"0,263813","1,3"
Real Madrid,Jornada 4,Temporada2019,0,0,1,"0,298003","1,3"
Real Madrid,Jornada 5,Temporada2019,0,0,4,"0,246718","1,3"
Real Madrid,Jornada 6,Temporada2019,1,0,3,"0,179709","1,2"
Real Madrid,Jornada 7,Temporada2019,0,0,1,"0,298003","1,3"
Real Madrid,Jornada 8,Temporada2019,0,1,2,"0,387934","1,5"
Real Madrid,Jornada 9,Temporada2019,1,0,5,"0,145519","1,2"
Real Madrid,Jornada 10,Temporada2019,2,1,4,"0,185535","1,2"
Real Madrid,Jornada 11,Temporada2019,0,0,3,"0,263813","1,3"
Real Madrid,Jornada 12,Temporada2019,2,1,1,"0,23682","1,3"
Real Madrid,Jornada 13,Temporada2019,1,1,4,"0,269639","1,3"
Real Madrid,Jornada 14,Temporada2019,0,0,4,"0,246718","1,3"
Real Madrid,Jornada 15,Temporada2019,0,0,1,"0,298003","1,3"
Real Madrid,Jornada 16,Temporada2019,0,1,3,"0,370839","1,4"
Real Madrid,Jornada 17,Temporada2019,0,1,2,"0,387934","1,5"
Real Madrid,Jornada 18,Temporada2019,1,0,1,"0,213899","1,2"
Real Madrid,Jornada 19,Temporada2019,1,1,4,"0,269639","1,3"
Real Madrid,Jornada 20,Temporada2019,0,0,3,"0,263813","1,3"
Real Madrid,Jornada 21,Temporada2019,1,1,1,"0,320924","1,4"
Real Madrid,Jornada 22,Temporada2019,0,0,4,"0,246718","1,3"
Real Madrid,Jornada 23,Temporada2019,0,0,4,"0,246718","1,3"
Real Madrid,Jornada 24,Temporada2019,0,0,4,"0,246718","1,3"
Real Madrid,Jornada 25,Temporada2019,0,0,5,"0,229623","1,3"
Real Madrid,Jornada 26,Temporada2019,0,0,2,"0,280908","1,3"
Real Madrid,Jornada 27,Temporada2019,2,0,4,"0,078509","1,1"
Real Madrid,Jornada 28,Temporada2019,0,0,5,"0,229623","1,3"
Real Madrid,Jornada 29,Temporada2019,0,0,5,"0,229623","1,3"
Real Madrid,Jornada 30,Temporada2019,0,0,7,"0,195433","1,2"
Real Madrid,Jornada 31,Temporada2019,0,0,5,"0,229623","1,3"
Real Madrid,Jornada 32,Temporada2019,0,0,3,"0,263813","1,3"
Real Madrid,Jornada 33,Temporada2019,0,0,3,"0,263813","1,3"
Real Madrid,Jornada 34,Temporada2019,0,0,6,"0,212528","1,2"
Real Madrid,Jornada 35,Temporada2019,0,0,8,"0,178338","1,2"
Real Madrid,Jornada 36,Temporada2019,0,0,4,"0,246718","1,3"
Real Madrid,Jornada 37,Temporada2019,0,0,4,"0,246718","1,3"
Real Madrid,Jornada 38,Temporada2019,0,0,6,"0,212528","1,2"
Real Madrid,Jornada 1,Temporada2020,0,0,0,"0,315098","1,4"
Real Madrid,Jornada 2,Temporada2020,0,0,3,"0,263813","1,3"
Real Madrid,Jornada 3,Temporada2020,0,0,3,"0,263813","1,3"
Real Madrid,Jornada 4,Temporada2020,1,0,3,"0,179709","1,2"
Real Madrid,Jornada 5,Temporada2020,0,0,3,"0,263813","1,3"
Real Madrid,Jornada 6,Temporada2020,0,0,8,"0,178338","1,2"
Real Madrid,Jornada 7,Temporada2020,0,0,6,"0,212528","1,2"
Real Madrid,Jornada 8,Temporada2020,0,1,2,"0,387934","1,5"
Real Madrid,Jornada 9,Temporada2020,0,0,7,"0,195433","1,2"
Real Madrid,Jornada 10,Temporada2020,0,0,6,"0,212528","1,2"
