plantilla_temporada,plantilla_equipo,plantilla_dorsal,plantilla_foto,plantilla_name,plantilla_posicion,plantilla_edad,plantilla_pais,plantilla_altura,plantilla_peso,plantilla_goles,plantilla_rojas,plantilla_amarillas
Temporada2020,Liverpool,22,https://thumb.resfu.com/img_data/players/medium/12304.jpg?size=60x&5,A. Lonergan,Portero,36,https://thumb.resfu.com/media/img/1px.gif,192,87,0,0,0
Temporada2020,Liverpool,13,https://thumb.resfu.com/img_data/players/medium/82120.jpg?size=60x&5,Adrián,Portero,33,https://thumb.resfu.com/media/img/1px.gif,188,78,0,0,1
Temporada2020,Liverpool,1,https://thumb.resfu.com/img_data/players/medium/136376.jpg?size=60x&5,Alisson,Portero,27,https://thumb.resfu.com/media/img/1px.gif,192,91,0,1,0
Temporada2020,Liverpool,62,https://thumb.resfu.com/img_data/players/medium/309751.jpg?size=60x&5,C. Kelleher,Portero,21,https://thumb.resfu.com/media/img/1px.gif,188,71,0,0,0
Temporada2020,Liverpool,,https://thumb.resfu.com/img_data/players/medium/165642.jpg?size=60x&5,L. Karius,Portero,27,https://thumb.resfu.com/media/img/1px.gif,187,75,0,0,0
Temporada2020,Liverpool,26,https://thumb.resfu.com/img_data/players/medium/160714.jpg?size=60x&5,A. Robertson,Defensa,26,https://thumb.resfu.com/media/img/1px.gif,178,64,2,0,2
Temporada2020,Liverpool,66,https://thumb.resfu.com/img_data/players/medium/242210.jpg?size=60x&5,Alexander-Arnold,Defensa,21,https://thumb.resfu.com/media/img/1px.gif,175,69,3,0,4
Temporada2020,Liverpool,6,https://thumb.resfu.com/img_data/players/medium/26966.jpg?size=60x&5,D. Lovren,Defensa,31,https://thumb.resfu.com/media/img/1px.gif,188,86,0,0,1
Temporada2020,Liverpool,12,https://thumb.resfu.com/img_data/players/medium/232599.jpg?size=60x&5,J. Gomez,Defensa,23,https://thumb.resfu.com/media/img/1px.gif,188,77,0,0,6
Temporada2020,Liverpool,32,https://thumb.resfu.com/img_data/players/medium/38741.jpg?size=60x&5,J. Matip,Defensa,28,https://thumb.resfu.com/media/img/1px.gif,195,90,1,0,0
Temporada2020,Liverpool,51,https://thumb.resfu.com/img_data/players/medium/776363.jpg?size=60x&5,K. Hoever,Defensa,18,https://thumb.resfu.com/media/img/1px.gif,180,65,0,0,0
Temporada2020,Liverpool,2,https://thumb.resfu.com/img_data/players/medium/41180.jpg?size=60x&5,N. Clyne,Defensa,29,https://thumb.resfu.com/media/img/1px.gif,175,69,0,0,0
Temporada2020,Liverpool,76,https://thumb.resfu.com/img_data/players/medium/428241.jpg?size=60x&5,N. Williams,Defensa,19,https://thumb.resfu.com/media/img/1px.gif,183,72,0,0,1
Temporada2020,Liverpool,4,https://thumb.resfu.com/img_data/players/medium/107732.jpg?size=60x&5,V. Van Dijk,Defensa,29,https://thumb.resfu.com/media/img/1px.gif,193,92,4,0,1
Temporada2020,Liverpool,20,https://thumb.resfu.com/img_data/players/medium/69694.jpg?size=60x&5,A. Lallana,Centrocampista,32,https://thumb.resfu.com/media/img/1px.gif,173,73,1,0,1
Temporada2020,Liverpool,15,https://thumb.resfu.com/img_data/players/medium/69699.jpg?size=60x&5,A. Oxlade-Chamberlain,Centrocampista,26,https://thumb.resfu.com/media/img/1px.gif,180,70,3,0,1
Temporada2020,Liverpool,48,https://thumb.resfu.com/img_data/players/medium/427721.jpg?size=60x&5,C. Jones,Centrocampista,19,https://thumb.resfu.com/media/img/1px.gif,185,75,1,0,0
Temporada2020,Liverpool,3,https://thumb.resfu.com/img_data/players/medium/139208.jpg?size=60x&5,Fabinho,Centrocampista,26,https://thumb.resfu.com/media/img/1px.gif,188,80,2,0,6
Temporada2020,Liverpool,5,https://thumb.resfu.com/img_data/players/medium/1652.jpg?size=60x&5,G. Wijnaldum,Centrocampista,29,https://thumb.resfu.com/media/img/1px.gif,175,69,3,0,0
Temporada2020,Liverpool,67,https://thumb.resfu.com/img_data/players/medium/631181.jpg?size=60x&5,H. Elliott,Centrocampista,17,https://thumb.resfu.com/media/img/1px.gif,170,68,0,0,0
Temporada2020,Liverpool,14,https://thumb.resfu.com/img_data/players/medium/35943.jpg?size=60x&5,J. Henderson,Centrocampista,30,https://thumb.resfu.com/media/img/1px.gif,184,67,4,0,2
Temporada2020,Liverpool,7,https://thumb.resfu.com/img_data/players/medium/30652.jpg?size=60x&5,J. Milner,Centrocampista,34,https://thumb.resfu.com/media/img/1px.gif,175,70,2,0,4
Temporada2020,Liverpool,8,https://thumb.resfu.com/img_data/players/medium/200795.jpg?size=60x&5,N. Keïta,Centrocampista,25,https://thumb.resfu.com/media/img/1px.gif,172,65,1,0,1
Temporada2020,Liverpool,27,https://thumb.resfu.com/img_data/players/medium/185410.jpg?size=60x&5,D. Origi,Delantero,25,https://thumb.resfu.com/media/img/1px.gif,185,75,3,0,1
Temporada2020,Liverpool,11,https://thumb.resfu.com/img_data/players/medium/139027.jpg?size=60x&5,M. Salah,Delantero,28,https://thumb.resfu.com/media/img/1px.gif,175,70,19,0,1
Temporada2020,Liverpool,9,https://thumb.resfu.com/img_data/players/medium/95323.jpg?size=60x&5,R. Firmino,Delantero,28,https://thumb.resfu.com/media/img/1px.gif,180,76,8,0,0
Temporada2020,Liverpool,10,https://thumb.resfu.com/img_data/players/medium/138826.jpg?size=60x&5,S. Mané,Delantero,28,https://thumb.resfu.com/media/img/1px.gif,175,69,16,0,3
Temporada2020,Liverpool,18,https://thumb.resfu.com/img_data/players/medium/206668.jpg?size=60x&5,T. Minamino,Delantero,25,https://thumb.resfu.com/media/img/1px.gif,174,67,0,0,0
Temporada2020,Liverpool,23,https://thumb.resfu.com/img_data/players/medium/41769.jpg?size=60x&5,X. Shaqiri,Delantero,28,https://thumb.resfu.com/media/img/1px.gif,169,72,1,0,0
Temporada2020,Man. City,1,https://thumb.resfu.com/img_data/players/medium/23636.jpg?size=60x&5,C. Bravo,Portero,37,https://thumb.resfu.com/media/img/1px.gif,184,84,0,0,0
Temporada2020,Man. City,31,https://thumb.resfu.com/img_data/players/medium/148785.jpg?size=60x&5,Ederson,Portero,26,https://thumb.resfu.com/media/img/1px.gif,188,89,0,1,3
Temporada2020,Man. City,33,https://thumb.resfu.com/img_data/players/medium/7.jpg?size=60x&5,S. Carson,Portero,34,https://thumb.resfu.com/media/img/1px.gif,183,85,0,0,0
Temporada2020,Man. City,14,https://thumb.resfu.com/img_data/players/medium/124620.jpg?size=60x&5,A. Laporte,Defensa,26,https://thumb.resfu.com/media/img/1px.gif,189,85,0,0,1
Temporada2020,Man. City,22,https://thumb.resfu.com/img_data/players/medium/114289.jpg?size=60x&5,B. Mendy,Defensa,25,https://thumb.resfu.com/media/img/1px.gif,185,83,0,0,3
Temporada2020,Man. City,80,https://thumb.resfu.com/img_data/players/medium/675016.jpg?size=60x&5,C. Palmer,Defensa,18,https://thumb.resfu.com/media/img/1px.gif,-,-,0,0,0
Temporada2020,Man. City,50,https://thumb.resfu.com/img_data/players/medium/367220.jpg?size=60x&5,E. Garcia,Defensa,19,https://thumb.resfu.com/media/img/1px.gif,182,73,0,0,0
Temporada2020,Man. City,27,https://thumb.resfu.com/img_data/players/medium/218414.jpg?size=60x&5,J. Cancelo,Defensa,26,https://thumb.resfu.com/media/img/1px.gif,182,66,0,0,3
Temporada2020,Man. City,5,https://thumb.resfu.com/img_data/players/medium/182519.jpg?size=60x&5,J. Stones,Defensa,26,https://thumb.resfu.com/media/img/1px.gif,188,70,0,0,0
Temporada2020,Man. City,2,https://thumb.resfu.com/img_data/players/medium/57700.jpg?size=60x&5,K. Walker,Defensa,30,https://thumb.resfu.com/media/img/1px.gif,183,83,1,0,5
Temporada2020,Man. City,30,https://thumb.resfu.com/img_data/players/medium/54978.jpg?size=60x&5,N. Otamendi,Defensa,32,https://thumb.resfu.com/media/img/1px.gif,183,81,2,0,3
Temporada2020,Man. City,11,https://thumb.resfu.com/img_data/players/medium/201788.jpg?size=60x&5,O. Zinchenko,Defensa,23,https://thumb.resfu.com/media/img/1px.gif,175,61,0,1,2
