partidos_temporada,partidos_jornada,partidos_fecha,partidos_foto_local,partidos_equipo_local,partidos_resultado,partidos_foto_visitante,partidos_equipo_visitante
Temporada2020,Jornada 5,22 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1217.jpg?size=37x&5,Getafe,4 - 2,https://thumb.resfu.com/img_data/escudos/small/1623.jpg?size=37x&5,Real Mallorca
Temporada2020,Jornada 5,21 Sep 19,https://thumb.resfu.com/img_data/escudos/small/4235.jpg?size=37x&5,Granada,2 - 0,https://thumb.resfu.com/img_data/escudos/small/429.jpg?size=37x&5,Barcelona
Temporada2020,Jornada 5,21 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1547.jpg?size=37x&5,Levante,0 - 0,https://thumb.resfu.com/img_data/escudos/small/957.jpg?size=37x&5,Eibar
Temporada2020,Jornada 5,20 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1887.jpg?size=37x&5,Osasuna,0 - 0,https://thumb.resfu.com/img_data/escudos/small/486.jpg?size=37x&5,Real Betis
Temporada2020,Jornada 5,22 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1102.jpg?size=37x&5,Sevilla,0 - 1,https://thumb.resfu.com/img_data/escudos/small/2107.jpg?size=37x&5,Real Madrid
Temporada2020,Jornada 5,22 Sep 19,https://thumb.resfu.com/img_data/escudos/small/2647.jpg?size=37x&5,Valencia,1 - 1,https://thumb.resfu.com/img_data/escudos/small/1535.jpg?size=37x&5,Leganés
Temporada2020,Jornada 5,21 Sep 19,https://thumb.resfu.com/img_data/escudos/small/2716.jpg?size=37x&5,Villarreal,2 - 0,https://thumb.resfu.com/img_data/escudos/small/2654.jpg?size=37x&5,Real Valladolid
Temporada2020,Jornada 6,24 Sep 19,https://thumb.resfu.com/img_data/escudos/small/429.jpg?size=37x&5,Barcelona,2 - 1,https://thumb.resfu.com/img_data/escudos/small/2716.jpg?size=37x&5,Villarreal
Temporada2020,Jornada 6,24 Sep 19,https://thumb.resfu.com/img_data/escudos/small/486.jpg?size=37x&5,Real Betis,3 - 1,https://thumb.resfu.com/img_data/escudos/small/1547.jpg?size=37x&5,Levante
Temporada2020,Jornada 6,26 Sep 19,https://thumb.resfu.com/img_data/escudos/small/712.jpg?size=37x&5,Celta de Vigo,1 - 1,https://thumb.resfu.com/img_data/escudos/small/998.jpg?size=37x&5,Espanyol
Temporada2020,Jornada 6,26 Sep 19,https://thumb.resfu.com/img_data/escudos/small/957.jpg?size=37x&5,Eibar,3 - 2,https://thumb.resfu.com/img_data/escudos/small/1102.jpg?size=37x&5,Sevilla
Temporada2020,Jornada 6,25 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1535.jpg?size=37x&5,Leganés,1 - 1,https://thumb.resfu.com/img_data/escudos/small/347.jpg?size=37x&5,Athletic Bilbao
