uefa_temporada,uefa_grupo,uefa_fecha,uefa_local,uefa_visitante,uefa_resultado
Temporada2019,Grupo 10,08 Nov 18,Krasnodar,Standard,2 - 1
Temporada2019,Grupo 10,08 Nov 18,Akhisar,Sevilla,2 - 3
Temporada2019,Grupo 10,29 Nov 18,Standard,Sevilla,1 - 0
Temporada2019,Grupo 10,29 Nov 18,Krasnodar,Akhisar,2 - 1
Temporada2019,Grupo 10,13 Dic 18,Sevilla,Krasnodar,3 - 0
Temporada2019,Grupo 10,13 Dic 18,Akhisar,Standard,0 - 0
Temporada2019,Grupo 11,20 Sep 18,Rennes,Jablonec,2 - 1
Temporada2019,Grupo 11,20 Sep 18,Dinamo Kiev,Astana,2 - 2
Temporada2019,Grupo 11,04 Oct 18,Astana,Rennes,2 - 0
Temporada2019,Grupo 11,04 Oct 18,Jablonec,Dinamo Kiev,2 - 2
Temporada2019,Grupo 11,25 Oct 18,Jablonec,Astana,1 - 1
Temporada2019,Grupo 11,25 Oct 18,Rennes,Dinamo Kiev,1 - 2
Temporada2019,Grupo 11,08 Nov 18,Astana,Jablonec,2 - 1
Temporada2019,Grupo 11,08 Nov 18,Dinamo Kiev,Rennes,3 - 1
Temporada2019,Grupo 11,29 Nov 18,Jablonec,Rennes,0 - 1
Temporada2019,Grupo 11,29 Nov 18,Astana,Dinamo Kiev,0 - 1
Temporada2019,Grupo 11,13 Dic 18,Rennes,Astana,2 - 0
Temporada2019,Grupo 11,13 Dic 18,Dinamo Kiev,Jablonec,0 - 1
Temporada2019,Grupo 12,20 Sep 18,PAOK,Chelsea,0 - 1
Temporada2019,Grupo 12,20 Sep 18,Fehérvár,BATE,0 - 2
Temporada2019,Grupo 12,04 Oct 18,BATE,PAOK,1 - 4
Temporada2019,Grupo 12,04 Oct 18,Chelsea,Fehérvár,1 - 0
Temporada2019,Grupo 12,25 Oct 18,Chelsea,BATE,3 - 1
Temporada2019,Grupo 12,25 Oct 18,PAOK,Fehérvár,0 - 2
Temporada2019,Grupo 12,08 Nov 18,BATE,Chelsea,0 - 1
Temporada2019,Grupo 12,08 Nov 18,Fehérvár,PAOK,1 - 0
Temporada2019,Grupo 12,29 Nov 18,Chelsea,PAOK,4 - 0
Temporada2019,Grupo 12,29 Nov 18,BATE,Fehérvár,2 - 0
Temporada2019,Grupo 12,13 Dic 18,PAOK,BATE,1 - 3
Temporada2019,Grupo 12,13 Dic 18,Fehérvár,Chelsea,2 - 2
Temporada2018,Grupo 0,15 Feb 18,B. Dortmund,Atalanta,3 - 2
Temporada2018,Grupo 0,22 Feb 18,Atalanta,B. Dortmund,1 - 1
Temporada2018,Grupo 0,15 Feb 18,Nice,Lokomotiv,2 - 3
Temporada2018,Grupo 0,22 Feb 18,Lokomotiv,Nice,1 - 0
Temporada2018,Grupo 0,22 Feb 18,Atlético Madrid,Kobenhavn,1 - 0
Temporada2018,Grupo 0,15 Feb 18,Kobenhavn,Atlético Madrid,1 - 4
Temporada2018,Grupo 0,22 Feb 18,Athletic Bilbao,Spartak,1 - 2
Temporada2018,Grupo 0,15 Feb 18,Spartak,Athletic Bilbao,1 - 3
Temporada2018,Grupo 0,15 Feb 18,AEK Athens,Dinamo Kiev,1 - 1
Temporada2018,Grupo 0,22 Feb 18,Dinamo Kiev,AEK Athens,0 - 0
Temporada2018,Grupo 0,15 Feb 18,Celtic,Zenit,1 - 0
Temporada2018,Grupo 0,22 Feb 18,Zenit,Celtic,3 - 0
Temporada2018,Grupo 0,15 Feb 18,Napoli,RB Leipzig,1 - 3
Temporada2018,Grupo 0,22 Feb 18,RB Leipzig,Napoli,0 - 2
Temporada2018,Grupo 0,13 Feb 18,Crvena,CSKA Moskva,0 - 0
Temporada2018,Grupo 0,21 Feb 18,CSKA Moskva,Crvena,1 - 0
Temporada2018,Grupo 0,15 Feb 18,Olympique,Villarreal,3 - 1
Temporada2018,Grupo 0,22 Feb 18,Villarreal,Olympique,0 - 1
Temporada2018,Grupo 0,15 Feb 18,Sociedad,Salzburg,2 - 2
Temporada2018,Grupo 0,22 Feb 18,Salzburg,Sociedad,2 - 1
Temporada2018,Grupo 0,15 Feb 18,Partizan,Viktoria,1 - 1
Temporada2018,Grupo 0,22 Feb 18,Viktoria,Partizan,2 - 0
Temporada2018,Grupo 0,15 Feb 18,FCSB,Lazio,1 - 0
Temporada2018,Grupo 0,22 Feb 18,Lazio,FCSB,5 - 1
Temporada2018,Grupo 0,15 Feb 18,Ludogorets,Milan,0 - 3
Temporada2018,Grupo 0,22 Feb 18,Milan,Ludogorets,1 - 0
Temporada2018,Grupo 0,15 Feb 18,Astana,Sporting,1 - 3
Temporada2018,Grupo 0,22 Feb 18,Sporting,Astana,3 - 3
Temporada2018,Grupo 0,15 Feb 18,Östersunds,Arsenal,0 - 3
Temporada2018,Grupo 0,22 Feb 18,Arsenal,Östersunds,1 - 2
Temporada2018,Grupo 0,22 Feb 18,Sporting,Olympique,1 - 0
Temporada2018,Grupo 0,15 Feb 18,Olympique,Sporting,3 - 0
Temporada2018,Grupo 0,15 Mar 18,Dinamo Kiev,Lazio,0 - 2
Temporada2018,Grupo 0,08 Mar 18,Lazio,Dinamo Kiev,2 - 2
Temporada2018,Grupo 0,15 Mar 18,Zenit,RB Leipzig,1 - 1
Temporada2018,Grupo 0,08 Mar 18,RB Leipzig,Zenit,2 - 1
Temporada2018,Grupo 0,15 Mar 18,Lokomotiv,Atlético Madrid,1 - 5
Temporada2018,Grupo 0,15 Mar 18,Olympique,CSKA Moskva,2 - 3
Temporada2018,Grupo 0,08 Mar 18,CSKA Moskva,Olympique,0 - 1
Temporada2018,Grupo 0,15 Mar 18,Athletic Bilbao,Olympique,1 - 2
Temporada2018,Grupo 0,08 Mar 18,Atlético Madrid,Lokomotiv,3 - 0
Temporada2018,Grupo 0,15 Mar 18,Viktoria,Sporting,2 - 1
Temporada2018,Grupo 0,08 Mar 18,Sporting,Viktoria,2 - 0
Temporada2018,Grupo 0,15 Mar 18,Salzburg,B. Dortmund,0 - 0
Temporada2018,Grupo 0,08 Mar 18,B. Dortmund,Salzburg,1 - 2
Temporada2018,Grupo 0,15 Mar 18,Arsenal,Milan,3 - 1
Temporada2018,Grupo 0,08 Mar 18,Milan,Arsenal,0 - 2
Temporada2018,Grupo 0,08 Mar 18,Olympique,Athletic Bilbao,3 - 1
Temporada2018,Grupo 0,05 Abr 18,RB Leipzig,Olympique,1 - 0
Temporada2018,Grupo 0,12 Abr 18,Olympique,RB Leipzig,5 - 2
Temporada2018,Grupo 0,05 Abr 18,Arsenal,CSKA Moskva,4 - 1
Temporada2018,Grupo 0,12 Abr 18,CSKA Moskva,Arsenal,2 - 2
Temporada2018,Grupo 0,05 Abr 18,Atlético Madrid,Sporting,2 - 0
Temporada2018,Grupo 0,12 Abr 18,Sporting,Atlético Madrid,1 - 0
Temporada2018,Grupo 0,05 Abr 18,Lazio,Salzburg,4 - 2
Temporada2018,Grupo 0,12 Abr 18,Salzburg,Lazio,4 - 1
Temporada2018,Grupo 0,26 Abr 18,Olympique,Salzburg,2 - 0
Temporada2018,Grupo 0,03 May 18,Salzburg,Olympique,2 - 1
Temporada2018,Grupo 0,26 Abr 18,Arsenal,Atlético Madrid,1 - 1
Temporada2018,Grupo 0,03 May 18,Atlético Madrid,Arsenal,1 - 0
Temporada2018,Grupo 0,16 May 18,Olympique,Atlético Madrid,0 - 3
Temporada2018,Grupo 1,14 Sep 17,Villarreal,Astana,3 - 1
Temporada2018,Grupo 1,14 Sep 17,Slavia,Maccabi,1 - 0
Temporada2018,Grupo 1,28 Sep 17,Maccabi,Villarreal,0 - 0
Temporada2018,Grupo 1,28 Sep 17,Astana,Slavia,1 - 1
Temporada2018,Grupo 1,19 Oct 17,Astana,Maccabi,4 - 0
Temporada2018,Grupo 1,19 Oct 17,Villarreal,Slavia,2 - 2
Temporada2018,Grupo 1,02 Nov 17,Maccabi,Astana,0 - 1
Temporada2018,Grupo 1,02 Nov 17,Slavia,Villarreal,0 - 2
Temporada2018,Grupo 1,23 Nov 17,Astana,Villarreal,2 - 3
Temporada2018,Grupo 1,23 Nov 17,Maccabi,Slavia,0 - 2
Temporada2018,Grupo 1,07 Dic 17,Villarreal,Maccabi,0 - 1
Temporada2018,Grupo 1,07 Dic 17,Slavia,Astana,0 - 1
Temporada2018,Grupo 2,14 Sep 17,Dinamo Kiev,Skënderbeu,3 - 1
Temporada2018,Grupo 2,14 Sep 17,Young Boys,Partizan,1 - 1
Temporada2018,Grupo 2,28 Sep 17,Partizan,Dinamo Kiev,2 - 3
Temporada2018,Grupo 2,28 Sep 17,Skënderbeu,Young Boys,1 - 1
Temporada2018,Grupo 2,19 Oct 17,Skënderbeu,Partizan,0 - 0
Temporada2018,Grupo 2,19 Oct 17,Dinamo Kiev,Young Boys,2 - 2
Temporada2018,Grupo 2,02 Nov 17,Young Boys,Dinamo Kiev,0 - 1
Temporada2018,Grupo 2,02 Nov 17,Partizan,Skënderbeu,2 - 0
Temporada2018,Grupo 2,23 Nov 17,Skënderbeu,Dinamo Kiev,3 - 2
Temporada2018,Grupo 2,23 Nov 17,Partizan,Young Boys,2 - 1
Temporada2018,Grupo 2,07 Dic 17,Dinamo Kiev,Partizan,4 - 1
Temporada2018,Grupo 2,07 Dic 17,Young Boys,Skënderbeu,2 - 1
Temporada2018,Grupo 3,14 Sep 17,Hoffenheim,Sporting,1 - 2
Temporada2018,Grupo 3,14 Sep 17,İstanbul,Ludogorets,0 - 0
Temporada2018,Grupo 3,28 Sep 17,Ludogorets,Hoffenheim,2 - 1
Temporada2018,Grupo 3,28 Sep 17,Sporting,İstanbul,2 - 1
Temporada2018,Grupo 3,19 Oct 17,Sporting,Ludogorets,0 - 2
Temporada2018,Grupo 3,19 Oct 17,Hoffenheim,İstanbul,3 - 1
Temporada2018,Grupo 3,02 Nov 17,Ludogorets,Sporting,1 - 1
Temporada2018,Grupo 3,02 Nov 17,İstanbul,Hoffenheim,1 - 1
Temporada2018,Grupo 3,23 Nov 17,Sporting,Hoffenheim,3 - 1
Temporada2018,Grupo 3,23 Nov 17,Ludogorets,İstanbul,1 - 2
Temporada2018,Grupo 3,07 Dic 17,Hoffenheim,Ludogorets,1 - 1
Temporada2018,Grupo 3,07 Dic 17,İstanbul,Sporting,2 - 1
Temporada2018,Grupo 4,14 Sep 17,Austria,Milan,1 - 5
Temporada2018,Grupo 4,14 Sep 17,Rijeka,AEK Athens,1 - 2
Temporada2018,Grupo 4,28 Sep 17,AEK Athens,Austria,2 - 2
Temporada2018,Grupo 4,28 Sep 17,Milan,Rijeka,3 - 2
Temporada2018,Grupo 4,19 Oct 17,Milan,AEK Athens,0 - 0
Temporada2018,Grupo 4,19 Oct 17,Austria,Rijeka,1 - 3
Temporada2018,Grupo 4,02 Nov 17,AEK Athens,Milan,0 - 0
Temporada2018,Grupo 4,02 Nov 17,Rijeka,Austria,1 - 4
Temporada2018,Grupo 4,23 Nov 17,Milan,Austria,5 - 1
Temporada2018,Grupo 4,23 Nov 17,AEK Athens,Rijeka,2 - 2
Temporada2018,Grupo 4,07 Dic 17,Austria,AEK Athens,0 - 0
Temporada2018,Grupo 4,07 Dic 17,Rijeka,Milan,2 - 0
Temporada2018,Grupo 5,14 Sep 17,Atalanta,Everton,3 - 0
Temporada2018,Grupo 5,14 Sep 17,Apollon,Olympique,1 - 1
Temporada2018,Grupo 5,28 Sep 17,Olympique,Atalanta,1 - 1
Temporada2018,Grupo 5,28 Sep 17,Everton,Apollon,2 - 2
Temporada2018,Grupo 5,19 Oct 17,Everton,Olympique,1 - 2
Temporada2018,Grupo 5,19 Oct 17,Atalanta,Apollon,3 - 1
Temporada2018,Grupo 5,02 Nov 17,Apollon,Atalanta,1 - 1
Temporada2018,Grupo 5,02 Nov 17,Olympique,Everton,3 - 0
Temporada2018,Grupo 5,23 Nov 17,Olympique,Apollon,4 - 0
Temporada2018,Grupo 5,23 Nov 17,Everton,Atalanta,1 - 5
Temporada2018,Grupo 5,07 Dic 17,Atalanta,Olympique,1 - 0
Temporada2018,Grupo 5,07 Dic 17,Apollon,Everton,0 - 3
Temporada2018,Grupo 6,14 Sep 17,Zlin,Sheriff,0 - 0
Temporada2018,Grupo 6,14 Sep 17,Kobenhavn,Lokomotiv,0 - 0
Temporada2018,Grupo 6,28 Sep 17,Lokomotiv,Zlin,3 - 0
Temporada2018,Grupo 6,28 Sep 17,Sheriff,Kobenhavn,0 - 0
Temporada2018,Grupo 6,19 Oct 17,Sheriff,Lokomotiv,1 - 1
Temporada2018,Grupo 6,19 Oct 17,Zlin,Kobenhavn,1 - 1
Temporada2018,Grupo 6,02 Nov 17,Lokomotiv,Sheriff,1 - 2
Temporada2018,Grupo 6,02 Nov 17,Kobenhavn,Zlin,3 - 0
Temporada2018,Grupo 6,23 Nov 17,Sheriff,Zlin,1 - 0
Temporada2018,Grupo 6,23 Nov 17,Lokomotiv,Kobenhavn,2 - 1
Temporada2018,Grupo 6,07 Dic 17,Zlin,Lokomotiv,0 - 2
Temporada2018,Grupo 6,07 Dic 17,Kobenhavn,Sheriff,2 - 0
Temporada2018,Grupo 7,14 Sep 17,Hapoel,FC Lugano,2 - 1
Temporada2018,Grupo 7,14 Sep 17,FCSB,Viktoria,3 - 0
Temporada2018,Grupo 7,28 Sep 17,Viktoria,Hapoel,3 - 1
Temporada2018,Grupo 7,28 Sep 17,FC Lugano,FCSB,1 - 2
Temporada2018,Grupo 7,19 Oct 17,FC Lugano,Viktoria,3 - 2
Temporada2018,Grupo 7,19 Oct 17,Hapoel,FCSB,1 - 2
Temporada2018,Grupo 7,02 Nov 17,Viktoria,FC Lugano,4 - 1
Temporada2018,Grupo 7,02 Nov 17,FCSB,Hapoel,1 - 1
Temporada2018,Grupo 7,23 Nov 17,FC Lugano,Hapoel,1 - 0
Temporada2018,Grupo 7,23 Nov 17,Viktoria,FCSB,2 - 0
Temporada2018,Grupo 7,07 Dic 17,Hapoel,Viktoria,0 - 2
Temporada2018,Grupo 7,07 Dic 17,FCSB,FC Lugano,1 - 2
Temporada2018,Grupo 8,14 Sep 17,Crvena,BATE,1 - 1
Temporada2018,Grupo 8,14 Sep 17,Arsenal,Köln,3 - 1
Temporada2018,Grupo 8,28 Sep 17,Köln,Crvena,0 - 1
Temporada2018,Grupo 8,28 Sep 17,BATE,Arsenal,2 - 4
Temporada2018,Grupo 8,19 Oct 17,BATE,Köln,1 - 0
Temporada2018,Grupo 8,19 Oct 17,Crvena,Arsenal,0 - 1
Temporada2018,Grupo 8,02 Nov 17,Köln,BATE,5 - 2
Temporada2018,Grupo 8,02 Nov 17,Arsenal,Crvena,0 - 0
Temporada2018,Grupo 8,23 Nov 17,BATE,Crvena,0 - 0
Temporada2018,Grupo 8,23 Nov 17,Köln,Arsenal,1 - 0
Temporada2018,Grupo 8,07 Dic 17,Crvena,Köln,1 - 0
Temporada2018,Grupo 8,07 Dic 17,Arsenal,BATE,6 - 0
Temporada2018,Grupo 9,14 Sep 17,Olympique,Konyaspor,1 - 0
Temporada2018,Grupo 9,14 Sep 17,Vitória,Salzburg,1 - 1
Temporada2018,Grupo 9,28 Sep 17,Salzburg,Olympique,1 - 0
Temporada2018,Grupo 9,28 Sep 17,Konyaspor,Vitória,2 - 1
Temporada2018,Grupo 9,19 Oct 17,Konyaspor,Salzburg,0 - 2
Temporada2018,Grupo 9,19 Oct 17,Olympique,Vitória,2 - 1
Temporada2018,Grupo 9,02 Nov 17,Salzburg,Konyaspor,0 - 0
Temporada2018,Grupo 9,02 Nov 17,Vitória,Olympique,1 - 0
Temporada2018,Grupo 9,23 Nov 17,Konyaspor,Olympique,1 - 1
Temporada2018,Grupo 9,23 Nov 17,Salzburg,Vitória,3 - 0
Temporada2018,Grupo 9,07 Dic 17,Olympique,Salzburg,0 - 0
Temporada2018,Grupo 9,07 Dic 17,Vitória,Konyaspor,1 - 1
Temporada2018,Grupo 10,14 Sep 17,Zorya,Östersunds,0 - 2
Temporada2018,Grupo 10,14 Sep 17,Hertha BSC,Athletic Bilbao,0 - 0
Temporada2018,Grupo 10,28 Sep 17,Athletic Bilbao,Zorya,0 - 1
Temporada2018,Grupo 10,28 Sep 17,Östersunds,Hertha BSC,1 - 0
Temporada2018,Grupo 10,19 Oct 17,Östersunds,Athletic Bilbao,2 - 2
Temporada2018,Grupo 10,19 Oct 17,Zorya,Hertha BSC,2 - 1
Temporada2018,Grupo 10,02 Nov 17,Athletic Bilbao,Östersunds,1 - 0
Temporada2018,Grupo 10,02 Nov 17,Hertha BSC,Zorya,2 - 0
Temporada2018,Grupo 10,23 Nov 17,Östersunds,Zorya,2 - 0
Temporada2018,Grupo 10,23 Nov 17,Athletic Bilbao,Hertha BSC,3 - 2
Temporada2018,Grupo 10,07 Dic 17,Zorya,Athletic Bilbao,0 - 2
Temporada2018,Grupo 10,07 Dic 17,Hertha BSC,Östersunds,1 - 1
Temporada2018,Grupo 11,14 Sep 17,Zulte-Wareg,Nice,1 - 5
Temporada2018,Grupo 11,14 Sep 17,Vitesse,Lazio,2 - 3
Temporada2018,Grupo 11,28 Sep 17,Lazio,Zulte-Wareg,2 - 0
Temporada2018,Grupo 11,28 Sep 17,Nice,Vitesse,3 - 0
Temporada2018,Grupo 11,19 Oct 17,Nice,Lazio,1 - 3
Temporada2018,Grupo 11,19 Oct 17,Zulte-Wareg,Vitesse,1 - 1
Temporada2018,Grupo 11,02 Nov 17,Lazio,Nice,1 - 0
Temporada2018,Grupo 11,02 Nov 17,Vitesse,Zulte-Wareg,0 - 2
Temporada2018,Grupo 11,23 Nov 17,Lazio,Vitesse,1 - 1
Temporada2018,Grupo 11,23 Nov 17,Nice,Zulte-Wareg,3 - 1
Temporada2018,Grupo 11,07 Dic 17,Zulte-Wareg,Lazio,3 - 2
Temporada2018,Grupo 11,07 Dic 17,Vitesse,Nice,1 - 0
Temporada2018,Grupo 12,14 Sep 17,Vardar,Zenit,0 - 5
Temporada2018,Grupo 12,14 Sep 17,Sociedad,Rosenborg,4 - 0
Temporada2018,Grupo 12,28 Sep 17,Rosenborg,Vardar,3 - 1
Temporada2018,Grupo 12,28 Sep 17,Zenit,Sociedad,3 - 1
Temporada2018,Grupo 12,19 Oct 17,Zenit,Rosenborg,3 - 1
Temporada2018,Grupo 12,19 Oct 17,Vardar,Sociedad,0 - 6
Temporada2018,Grupo 12,02 Nov 17,Rosenborg,Zenit,1 - 1
Temporada2018,Grupo 12,02 Nov 17,Sociedad,Vardar,3 - 0
Temporada2018,Grupo 12,23 Nov 17,Zenit,Vardar,2 - 1
Temporada2018,Grupo 12,23 Nov 17,Rosenborg,Sociedad,0 - 1
Temporada2018,Grupo 12,07 Dic 17,Vardar,Rosenborg,1 - 1
Temporada2018,Grupo 12,07 Dic 17,Sociedad,Zenit,1 - 3
Temporada2017,Grupo 0,16 Feb 17,Athletic Bilbao,APOEL,3 - 2
Temporada2017,Grupo 0,23 Feb 17,APOEL,Athletic Bilbao,2 - 0
Temporada2017,Grupo 0,16 Feb 17,Legia,Ajax,0 - 0
Temporada2017,Grupo 0,23 Feb 17,Ajax,Legia,1 - 0
Temporada2017,Grupo 0,16 Feb 17,Anderlecht,Zenit,2 - 0
Temporada2017,Grupo 0,23 Feb 17,Zenit,Anderlecht,3 - 1
Temporada2017,Grupo 0,16 Feb 17,Astra,Genk,2 - 2
Temporada2017,Grupo 0,23 Feb 17,Genk,Astra,1 - 0
Temporada2017,Grupo 0,16 Feb 17,Man. Utd,Saint-Étie,3 - 0
Temporada2017,Grupo 0,22 Feb 17,Saint-Étie,Man. Utd,0 - 1
Temporada2017,Grupo 0,16 Feb 17,Villarreal,Roma,0 - 4
Temporada2017,Grupo 0,23 Feb 17,Roma,Villarreal,0 - 1
Temporada2017,Grupo 0,23 Feb 17,Kobenhavn,Ludogorets,0 - 0
Temporada2017,Grupo 0,16 Feb 17,Ludogorets,Kobenhavn,1 - 2
Temporada2017,Grupo 0,16 Feb 17,Celta de Vigo,Shakhtar,0 - 1
Temporada2017,Grupo 0,23 Feb 17,Shakhtar,Celta de Vigo,0 - 2
Temporada2017,Grupo 0,23 Feb 17,Osmanlıspo,Olympiacos,0 - 3
Temporada2017,Grupo 0,16 Feb 17,Olympiacos,Osmanlıspo,0 - 0
Temporada2017,Grupo 0,16 Feb 17,KAA Gent,Tottenham,1 - 0
Temporada2017,Grupo 0,23 Feb 17,Tottenham,KAA Gent,2 - 2
Temporada2017,Grupo 0,16 Feb 17,Rostov Donu,Sparta,4 - 0
Temporada2017,Grupo 0,23 Feb 17,Sparta,Rostov Donu,1 - 1
Temporada2017,Grupo 0,22 Feb 17,Fenerbahçe,Krasnodar,1 - 1
Temporada2017,Grupo 0,16 Feb 17,Krasnodar,Fenerbahçe,1 - 0
Temporada2017,Grupo 0,23 Feb 17,Fiorentina,Monchengladbach,2 - 4
Temporada2017,Grupo 0,16 Feb 17,Monchengladbach,Fiorentina,0 - 1
Temporada2017,Grupo 0,23 Feb 17,Olympique,AZ Alkmaar,7 - 1
Temporada2017,Grupo 0,16 Feb 17,AZ Alkmaar,Olympique,1 - 4
Temporada2017,Grupo 0,16 Feb 17,Hapoel,Beşiktaş,1 - 3
Temporada2017,Grupo 0,23 Feb 17,Beşiktaş,Hapoel,2 - 1
Temporada2017,Grupo 0,16 Feb 17,PAOK,Schalke 04,0 - 3
Temporada2017,Grupo 0,22 Feb 17,Schalke 04,PAOK,1 - 1
Temporada2017,Grupo 0,16 Mar 17,Krasnodar,Celta de Vigo,0 - 2
Temporada2017,Grupo 0,09 Mar 17,Celta de Vigo,Krasnodar,2 - 1
Temporada2017,Grupo 0,09 Mar 17,APOEL,Anderlecht,0 - 1
Temporada2017,Grupo 0,16 Mar 17,Anderlecht,APOEL,1 - 0
Temporada2017,Grupo 0,09 Mar 17,Schalke 04,Monchengladbach,1 - 1
Temporada2017,Grupo 0,16 Mar 17,Monchengladbach,Schalke 04,2 - 2
Temporada2017,Grupo 0,16 Mar 17,Roma,Olympique,2 - 1
Temporada2017,Grupo 0,09 Mar 17,Olympique,Roma,4 - 2
Temporada2017,Grupo 0,09 Mar 17,Rostov Donu,Man. Utd,1 - 1
Temporada2017,Grupo 0,16 Mar 17,Man. Utd,Rostov Donu,1 - 0
Temporada2017,Grupo 0,09 Mar 17,Olympiacos,Beşiktaş,1 - 1
Temporada2017,Grupo 0,16 Mar 17,Beşiktaş,Olympiacos,4 - 1
Temporada2017,Grupo 0,09 Mar 17,KAA Gent,Genk,2 - 5
Temporada2017,Grupo 0,16 Mar 17,Genk,KAA Gent,1 - 1
Temporada2017,Grupo 0,09 Mar 17,Kobenhavn,Ajax,2 - 1
Temporada2017,Grupo 0,16 Mar 17,Ajax,Kobenhavn,2 - 0
Temporada2017,Grupo 0,13 Abr 17,Anderlecht,Man. Utd,1 - 1
Temporada2017,Grupo 0,20 Abr 17,Man. Utd,Anderlecht,2 - 1
Temporada2017,Grupo 0,13 Abr 17,Celta de Vigo,Genk,3 - 2
Temporada2017,Grupo 0,20 Abr 17,Genk,Celta de Vigo,1 - 1
Temporada2017,Grupo 0,13 Abr 17,Ajax,Schalke 04,2 - 0
Temporada2017,Grupo 0,20 Abr 17,Schalke 04,Ajax,3 - 2
Temporada2017,Grupo 0,20 Abr 17,Beşiktaş,Olympique,2 - 1
Temporada2017,Grupo 0,13 Abr 17,Olympique,Beşiktaş,2 - 1
Temporada2017,Grupo 0,03 May 17,Ajax,Olympique,4 - 1
Temporada2017,Grupo 0,11 May 17,Olympique,Ajax,3 - 1
Temporada2017,Grupo 0,04 May 17,Celta de Vigo,Man. Utd,0 - 1
Temporada2017,Grupo 0,11 May 17,Man. Utd,Celta de Vigo,1 - 1
Temporada2017,Grupo 0,24 May 17,Ajax,Man. Utd,0 - 2
Temporada2017,Grupo 1,15 Sep 16,Feyenoord,Man. Utd,1 - 0
Temporada2017,Grupo 1,15 Sep 16,Zorya,Fenerbahçe,1 - 1
Temporada2017,Grupo 1,29 Sep 16,Fenerbahçe,Feyenoord,1 - 0
Temporada2017,Grupo 1,29 Sep 16,Man. Utd,Zorya,1 - 0
Temporada2017,Grupo 1,20 Oct 16,Man. Utd,Fenerbahçe,4 - 1
Temporada2017,Grupo 1,20 Oct 16,Feyenoord,Zorya,1 - 0
Temporada2017,Grupo 1,03 Nov 16,Fenerbahçe,Man. Utd,2 - 1
Temporada2017,Grupo 1,03 Nov 16,Zorya,Feyenoord,1 - 1
Temporada2017,Grupo 1,24 Nov 16,Man. Utd,Feyenoord,4 - 0
Temporada2017,Grupo 1,24 Nov 16,Fenerbahçe,Zorya,2 - 0
Temporada2017,Grupo 1,08 Dic 16,Feyenoord,Fenerbahçe,0 - 1
Temporada2017,Grupo 1,08 Dic 16,Zorya,Man. Utd,0 - 2
Temporada2017,Grupo 2,15 Sep 16,APOEL,Astana,2 - 1
Temporada2017,Grupo 2,15 Sep 16,Young Boys,Olympiacos,0 - 1
Temporada2017,Grupo 2,29 Sep 16,Astana,Young Boys,0 - 0
Temporada2017,Grupo 2,29 Sep 16,Olympiacos,APOEL,0 - 1
Temporada2017,Grupo 2,20 Oct 16,Olympiacos,Astana,4 - 1
Temporada2017,Grupo 2,20 Oct 16,Young Boys,APOEL,3 - 1
Temporada2017,Grupo 2,03 Nov 16,APOEL,Young Boys,1 - 0
Temporada2017,Grupo 2,03 Nov 16,Astana,Olympiacos,1 - 1
Temporada2017,Grupo 2,24 Nov 16,Astana,APOEL,2 - 1
Temporada2017,Grupo 2,24 Nov 16,Olympiacos,Young Boys,1 - 1
Temporada2017,Grupo 2,08 Dic 16,APOEL,Olympiacos,2 - 0
Temporada2017,Grupo 2,08 Dic 16,Young Boys,Astana,3 - 0
Temporada2017,Grupo 3,15 Sep 16,Anderlecht,FK Qabala,3 - 1
Temporada2017,Grupo 3,15 Sep 16,Mainz 05,Saint-Étie,1 - 1
Temporada2017,Grupo 3,29 Sep 16,FK Qabala,Mainz 05,2 - 3
Temporada2017,Grupo 3,29 Sep 16,Saint-Étie,Anderlecht,1 - 1
Temporada2017,Grupo 3,20 Oct 16,Mainz 05,Anderlecht,1 - 1
Temporada2017,Grupo 3,20 Oct 16,Saint-Étie,FK Qabala,1 - 0
Temporada2017,Grupo 3,03 Nov 16,Anderlecht,Mainz 05,6 - 1
Temporada2017,Grupo 3,03 Nov 16,FK Qabala,Saint-Étie,1 - 2
Temporada2017,Grupo 3,24 Nov 16,FK Qabala,Anderlecht,1 - 3
Temporada2017,Grupo 3,24 Nov 16,Saint-Étie,Mainz 05,0 - 0
Temporada2017,Grupo 3,08 Dic 16,Anderlecht,Saint-Étie,2 - 3
Temporada2017,Grupo 3,08 Dic 16,Mainz 05,FK Qabala,2 - 0
Temporada2017,Grupo 4,15 Sep 16,AZ Alkmaar,Dundalk,1 - 1
Temporada2017,Grupo 4,15 Sep 16,Maccabi,Zenit,3 - 4
Temporada2017,Grupo 4,29 Sep 16,Dundalk,Maccabi,1 - 0
Temporada2017,Grupo 4,29 Sep 16,Zenit,AZ Alkmaar,5 - 0
Temporada2017,Grupo 4,20 Oct 16,AZ Alkmaar,Maccabi,1 - 2
Temporada2017,Grupo 4,20 Oct 16,Dundalk,Zenit,1 - 2
Temporada2017,Grupo 4,03 Nov 16,Maccabi,AZ Alkmaar,0 - 0
Temporada2017,Grupo 4,03 Nov 16,Zenit,Dundalk,2 - 1
Temporada2017,Grupo 4,24 Nov 16,Dundalk,AZ Alkmaar,0 - 1
Temporada2017,Grupo 4,24 Nov 16,Zenit,Maccabi,2 - 0
Temporada2017,Grupo 4,08 Dic 16,AZ Alkmaar,Zenit,3 - 2
Temporada2017,Grupo 4,08 Dic 16,Maccabi,Dundalk,2 - 1
