champions_temporada,champions_grupo,champions_fecha,champions_local,champions_visitante,champions_resultado
Temporada2017,Grupo 6,18 Oct 16,Sporting,B. Dortmund,1 - 2
Temporada2017,Grupo 6,18 Oct 16,Real Madrid,Legia,5 - 1
Temporada2017,Grupo 6,02 Nov 16,Legia,Real Madrid,3 - 3
Temporada2017,Grupo 6,02 Nov 16,B. Dortmund,Sporting,1 - 0
Temporada2017,Grupo 6,22 Nov 16,Sporting,Real Madrid,1 - 2
Temporada2017,Grupo 6,22 Nov 16,B. Dortmund,Legia,8 - 4
Temporada2017,Grupo 6,07 Dic 16,Real Madrid,B. Dortmund,2 - 2
Temporada2017,Grupo 6,07 Dic 16,Legia,Sporting,1 - 0
Temporada2017,Grupo 7,14 Sep 16,Club Brugge,Leicester,0 - 3
Temporada2017,Grupo 7,14 Sep 16,Porto,Kobenhavn,1 - 1
Temporada2017,Grupo 7,27 Sep 16,Leicester,Porto,1 - 0
Temporada2017,Grupo 7,27 Sep 16,Kobenhavn,Club Brugge,4 - 0
Temporada2017,Grupo 7,18 Oct 16,Leicester,Kobenhavn,1 - 0
Temporada2017,Grupo 7,18 Oct 16,Club Brugge,Porto,1 - 2
Temporada2017,Grupo 7,02 Nov 16,Porto,Club Brugge,1 - 0
Temporada2017,Grupo 7,02 Nov 16,Kobenhavn,Leicester,0 - 0
Temporada2017,Grupo 7,22 Nov 16,Leicester,Club Brugge,2 - 1
Temporada2017,Grupo 7,22 Nov 16,Kobenhavn,Porto,0 - 0
Temporada2017,Grupo 7,07 Dic 16,Porto,Leicester,5 - 0
Temporada2017,Grupo 7,07 Dic 16,Club Brugge,Kobenhavn,0 - 2
Temporada2017,Grupo 8,14 Sep 16,Juventus,Sevilla,0 - 0
Temporada2017,Grupo 8,14 Sep 16,Olympique,Dinamo,3 - 0
Temporada2017,Grupo 8,27 Sep 16,Dinamo,Juventus,0 - 4
Temporada2017,Grupo 8,27 Sep 16,Sevilla,Olympique,1 - 0
Temporada2017,Grupo 8,18 Oct 16,Dinamo,Sevilla,0 - 1
Temporada2017,Grupo 8,18 Oct 16,Olympique,Juventus,0 - 1
Temporada2017,Grupo 8,02 Nov 16,Juventus,Olympique,1 - 1
Temporada2017,Grupo 8,02 Nov 16,Sevilla,Dinamo,4 - 0
Temporada2017,Grupo 8,22 Nov 16,Dinamo,Olympique,0 - 1
Temporada2017,Grupo 8,22 Nov 16,Sevilla,Juventus,1 - 3
Temporada2017,Grupo 8,07 Dic 16,Juventus,Dinamo,2 - 0
Temporada2017,Grupo 8,07 Dic 16,Olympique,Sevilla,0 - 0
