Liga,Temporada,Jornada,Equipo,Cambios realizados defensa partido,Cambio jugador lesion partido,Titulares cambiados respecto jornada anterior,PUNTOS Y,CUT1 Y,CUT2 Y
La Liga Santander,Temporada2020,Jornada 3,Getafe,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 3,Eibar,0,1,5,"-0,3471497","-0,0778209","0,6264523"
La Liga Santander,Temporada2020,Jornada 3,Espanyol,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 3,Leganés,1,0,4,"-0,4176412","-0,0073294","0,6969438"
La Liga Santander,Temporada2020,Jornada 4,Sevilla,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 4,Atlético Madrid,0,1,2,"-0,2812556","-0,143715","0,5605582"
La Liga Santander,Temporada2020,Jornada 4,Real Madrid,1,0,3,"-0,3956765","-0,0292941","0,6749791"
La Liga Santander,Temporada2020,Jornada 4,Athletic Bilbao,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 4,Barcelona,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 4,Granada,0,1,0,"-0,2373262","-0,1876444","0,5166288"
La Liga Santander,Temporada2020,Jornada 4,Real Sociedad,0,0,4,"-0,0878588","-0,3371118","0,3671614"
La Liga Santander,Temporada2020,Jornada 4,Osasuna,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 4,Levante,1,0,1,"-0,3517471","-0,0732235","0,6310497"
La Liga Santander,Temporada2020,Jornada 4,Villarreal,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 4,Alavés,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 4,Real Valladolid,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 4,Valencia,0,0,1,"-0,0219647","-0,4030059","0,3012673"
